WorkerName,StatesReceived,StatesComputed
rmi://bordereau-64.bordeaux.grid5000.fr:48950,4120,11701
rmi://bordereau-69.bordeaux.grid5000.fr:56558,4084,9904
rmi://bordereau-47.bordeaux.grid5000.fr:60344,4103,11701
rmi://bordereau-45.bordeaux.grid5000.fr:42466,4109,11051
rmi://bordereau-55.bordeaux.grid5000.fr:39094,4084,11645
rmi://bordereau-61.bordeaux.grid5000.fr:38020,4130,13006
rmi://bordereau-71.bordeaux.grid5000.fr:34449,4072,9675
rmi://bordereau-73.bordeaux.grid5000.fr:39259,4105,11474
rmi://bordereau-44.bordeaux.grid5000.fr:60666,4006,8231
rmi://bordereau-65.bordeaux.grid5000.fr:54324,4172,12472
rmi://bordereau-52.bordeaux.grid5000.fr:58774,4115,12433
rmi://bordereau-68.bordeaux.grid5000.fr:43279,4108,11601
rmi://bordereau-80.bordeaux.grid5000.fr:52524,4138,12538
rmi://bordereau-43.bordeaux.grid5000.fr:39344,4055,9297
rmi://bordereau-83.bordeaux.grid5000.fr:35305,4152,12234
rmi://bordereau-48.bordeaux.grid5000.fr:43947,4175,13603
rmi://bordereau-6.bordeaux.grid5000.fr:48564,4102,11285
rmi://bordereau-50.bordeaux.grid5000.fr:40116,3998,8781
rmi://bordereau-62.bordeaux.grid5000.fr:33177,4099,10326
rmi://bordereau-7.bordeaux.grid5000.fr:39492,4078,10902
rmi://bordereau-78.bordeaux.grid5000.fr:53305,4045,10437
rmi://bordereau-93.bordeaux.grid5000.fr:32972,4060,10150
rmi://bordereau-75.bordeaux.grid5000.fr:44100,4126,11641
rmi://borderline-8.bordeaux.grid5000.fr:53473,4090,11421
rmi://bordereau-81.bordeaux.grid5000.fr:48814,4138,12103
rmi://borderline-5.bordeaux.grid5000.fr:44018,4129,12727
rmi://bordereau-63.bordeaux.grid5000.fr:46289,4103,10351
rmi://bordereau-8.bordeaux.grid5000.fr:47269,4100,11161
rmi://bordereau-85.bordeaux.grid5000.fr:56216,4096,11887
rmi://bordereau-66.bordeaux.grid5000.fr:39238,4159,12157
rmi://bordereau-59.bordeaux.grid5000.fr:51558,3994,8289
rmi://bordereau-90.bordeaux.grid5000.fr:43310,4147,11927
rmi://bordereau-49.bordeaux.grid5000.fr:39802,4164,12954
rmi://bordereau-84.bordeaux.grid5000.fr:38829,4040,9083
rmi://bordereau-77.bordeaux.grid5000.fr:40658,4101,11690
rmi://bordereau-89.bordeaux.grid5000.fr:53033,3723,4988
rmi://bordereau-67.bordeaux.grid5000.fr:52401,4090,11045
rmi://bordereau-56.bordeaux.grid5000.fr:53122,4091,11547
rmi://bordereau-91.bordeaux.grid5000.fr:53134,4001,8432
rmi://bordereau-53.bordeaux.grid5000.fr:41865,4173,12244
rmi://bordereau-9.bordeaux.grid5000.fr:53683,4088,10842
rmi://bordereau-58.bordeaux.grid5000.fr:53623,4091,11680
rmi://bordereau-5.bordeaux.grid5000.fr:54990,4090,10564
rmi://bordereau-60.bordeaux.grid5000.fr:42534,4116,11636
rmi://bordereau-92.bordeaux.grid5000.fr:49881,4169,13637
rmi://bordereau-74.bordeaux.grid5000.fr:59168,4128,11577
rmi://bordereau-54.bordeaux.grid5000.fr:43877,4052,9042
rmi://bordereau-87.bordeaux.grid5000.fr:52882,4066,10479
rmi://bordereau-51.bordeaux.grid5000.fr:34082,4179,12962
rmi://bordereau-86.bordeaux.grid5000.fr:41981,4136,12944
rmi://bordereau-46.bordeaux.grid5000.fr:47928,4183,12953
rmi://bordereau-70.bordeaux.grid5000.fr:37083,4077,10198
rmi://borderline-4.bordeaux.grid5000.fr:46201,4033,8847
rmi://bordereau-72.bordeaux.grid5000.fr:59894,4092,12140
rmi://borderline-6.bordeaux.grid5000.fr:55043,4096,10687
rmi://borderline-2.bordeaux.grid5000.fr:52629,4123,10688
rmi://bordereau-88.bordeaux.grid5000.fr:37494,4120,12697
rmi://borderline-10.bordeaux.grid5000.fr:42338,4100,11137
rmi://bordereau-82.bordeaux.grid5000.fr:45108,4151,12454
rmi://bordereau-76.bordeaux.grid5000.fr:45462,4032,8089
rmi://borderline-9.bordeaux.grid5000.fr:57874,4047,8961
rmi://borderline-7.bordeaux.grid5000.fr:50940,4164,11480
rmi://borderline-3.bordeaux.grid5000.fr:50536,4123,11534
rmi://borderline-1.bordeaux.grid5000.fr:55846,4113,11083
