WorkerName,StatesReceived,StatesComputed
rmi://paradent-12.rennes.grid5000.fr:35286,4469,14927
rmi://paradent-13.rennes.grid5000.fr:58090,4461,13533
rmi://paradent-36.rennes.grid5000.fr:52241,4470,14088
rmi://paradent-52.rennes.grid5000.fr:43193,4446,13977
rmi://paradent-57.rennes.grid5000.fr:55465,4467,14655
rmi://paradent-43.rennes.grid5000.fr:57388,4472,14354
rmi://paradent-48.rennes.grid5000.fr:51942,4462,13417
rmi://paradent-33.rennes.grid5000.fr:34234,4451,13333
rmi://paradent-47.rennes.grid5000.fr:33045,4468,14394
rmi://paradent-29.rennes.grid5000.fr:49569,4457,12950
rmi://paradent-26.rennes.grid5000.fr:33087,4466,14204
rmi://paradent-53.rennes.grid5000.fr:54098,4460,14105
rmi://paradent-25.rennes.grid5000.fr:53296,4462,12929
rmi://paradent-59.rennes.grid5000.fr:48424,4462,14200
rmi://paradent-49.rennes.grid5000.fr:54809,4454,13065
rmi://paradent-50.rennes.grid5000.fr:47511,4462,13678
rmi://paradent-55.rennes.grid5000.fr:59757,4466,14046
rmi://paradent-44.rennes.grid5000.fr:35513,4465,12438
rmi://paradent-38.rennes.grid5000.fr:38879,4465,12988
rmi://paradent-54.rennes.grid5000.fr:54708,4442,13548
rmi://paradent-60.rennes.grid5000.fr:45203,4455,14343
rmi://paradent-7.rennes.grid5000.fr:40435,4451,13769
rmi://paramount-11.rennes.grid5000.fr:37393,4102,8698
rmi://paradent-61.rennes.grid5000.fr:34342,4465,13365
rmi://paradent-62.rennes.grid5000.fr:43450,4450,13042
rmi://paradent-9.rennes.grid5000.fr:52543,4438,13668
rmi://paradent-58.rennes.grid5000.fr:56400,4455,12331
rmi://paramount-10.rennes.grid5000.fr:35306,3940,6145
rmi://paradent-5.rennes.grid5000.fr:33350,4453,13437
rmi://paramount-12.rennes.grid5000.fr:55610,4116,9412
rmi://paramount-15.rennes.grid5000.fr:47731,4056,7500
rmi://paramount-25.rennes.grid5000.fr:50202,3864,7150
rmi://paramount-29.rennes.grid5000.fr:52371,4127,8811
rmi://paramount-8.rennes.grid5000.fr:52684,4111,9019
rmi://paramount-28.rennes.grid5000.fr:33571,4120,9793
rmi://paramount-23.rennes.grid5000.fr:47154,4104,8065
rmi://paramount-18.rennes.grid5000.fr:46426,4101,8528
rmi://paramount-22.rennes.grid5000.fr:48311,4116,9507
rmi://paramount-27.rennes.grid5000.fr:37955,4116,8402
rmi://paramount-30.rennes.grid5000.fr:54675,4104,8454
rmi://paramount-26.rennes.grid5000.fr:33787,4111,7292
rmi://paramount-3.rennes.grid5000.fr:58866,4123,8998
rmi://paramount-2.rennes.grid5000.fr:55392,3880,6858
rmi://paramount-32.rennes.grid5000.fr:33124,4105,9065
rmi://paramount-24.rennes.grid5000.fr:34951,3875,6408
rmi://paramount-33.rennes.grid5000.fr:48924,4109,8853
rmi://paramount-5.rennes.grid5000.fr:47647,4083,8157
rmi://paradent-63.rennes.grid5000.fr:36102,4449,14154
rmi://paradent-56.rennes.grid5000.fr:43704,4283,11307
rmi://paradent-64.rennes.grid5000.fr:56209,4456,13920
rmi://paradent-6.rennes.grid5000.fr:35966,4464,13406
rmi://paramount-6.rennes.grid5000.fr:53343,4113,8761
rmi://paramount-1.rennes.grid5000.fr:47028,4109,9118
rmi://parapluie-21.rennes.grid5000.fr:46196,2923,1693
rmi://paramount-13.rennes.grid5000.fr:59649,4121,8373
rmi://parapluie-25.rennes.grid5000.fr:36978,2917,2140
rmi://parapluie-3.rennes.grid5000.fr:60420,2911,1891
rmi://paramount-9.rennes.grid5000.fr:47929,4210,9562
rmi://parapluie-8.rennes.grid5000.fr:56754,2929,2576
rmi://parapluie-10.rennes.grid5000.fr:42497,2920,1995
rmi://parapluie-5.rennes.grid5000.fr:58598,2923,2163
rmi://parapluie-1.rennes.grid5000.fr:57828,2915,1815
rmi://parapluie-9.rennes.grid5000.fr:42423,2924,1798
rmi://parapluie-26.rennes.grid5000.fr:58317,2920,2146
