WorkerName,StatesReceived,StatesComputed
rmi://paradent-7.rennes.grid5000.fr:43428,7506,26179
rmi://paradent-62.rennes.grid5000.fr:37236,7573,26631
rmi://paradent-64.rennes.grid5000.fr:41452,7510,24500
rmi://paradent-9.rennes.grid5000.fr:53704,7558,27994
rmi://paradent-6.rennes.grid5000.fr:53610,7506,24683
rmi://paradent-63.rennes.grid5000.fr:50082,7533,25962
rmi://paramount-10.rennes.grid5000.fr:45287,6957,20998
rmi://paramount-13.rennes.grid5000.fr:44059,6562,15981
rmi://paramount-23.rennes.grid5000.fr:38448,6926,20955
rmi://paramount-15.rennes.grid5000.fr:50480,6973,20333
rmi://paramount-12.rennes.grid5000.fr:59429,7001,21050
rmi://paramount-11.rennes.grid5000.fr:33310,6698,16586
rmi://paramount-24.rennes.grid5000.fr:36370,7011,22120
rmi://paramount-1.rennes.grid5000.fr:39567,7022,19023
rmi://paramount-22.rennes.grid5000.fr:45252,7010,20516
rmi://paramount-30.rennes.grid5000.fr:51951,6979,21266
rmi://paramount-3.rennes.grid5000.fr:51368,6465,14583
rmi://paramount-32.rennes.grid5000.fr:49777,6906,18449
rmi://paramount-18.rennes.grid5000.fr:33498,7021,21535
rmi://paramount-29.rennes.grid5000.fr:41639,6955,20729
rmi://paramount-25.rennes.grid5000.fr:38214,6944,20341
rmi://paramount-33.rennes.grid5000.fr:50333,6939,19173
rmi://paramount-26.rennes.grid5000.fr:35671,6962,21393
rmi://paramount-2.rennes.grid5000.fr:32793,6974,19556
rmi://paradent-61.rennes.grid5000.fr:44376,7537,27600
rmi://paramount-5.rennes.grid5000.fr:42793,6974,20153
rmi://parapluie-1.rennes.grid5000.fr:54097,4954,7429
rmi://paramount-28.rennes.grid5000.fr:53138,6957,20993
rmi://parapluie-21.rennes.grid5000.fr:36915,4875,5458
rmi://paramount-27.rennes.grid5000.fr:40079,6708,17625
rmi://paramount-6.rennes.grid5000.fr:44583,6744,16181
rmi://parapluie-3.rennes.grid5000.fr:33488,4894,5357
rmi://parapluie-26.rennes.grid5000.fr:46522,4841,4895
rmi://paramount-9.rennes.grid5000.fr:57747,6963,19912
rmi://parapluie-25.rennes.grid5000.fr:40118,4900,6200
rmi://paramount-8.rennes.grid5000.fr:51906,6752,18357
rmi://parapluie-8.rennes.grid5000.fr:49826,4918,5927
rmi://parapluie-5.rennes.grid5000.fr:44677,4862,5677
rmi://parapluie-10.rennes.grid5000.fr:48434,4873,5882
rmi://parapluie-9.rennes.grid5000.fr:36370,4901,5483
