WorkerName,StatesReceived,StatesComputed
rmi://bordereau-9.bordeaux.grid5000.fr:36758,11754,39466
rmi://bordereau-89.bordeaux.grid5000.fr:36169,11861,38494
rmi://borderline-7.bordeaux.grid5000.fr:55561,11913,35079
rmi://bordereau-93.bordeaux.grid5000.fr:52567,11890,43386
rmi://borderline-2.bordeaux.grid5000.fr:53979,12002,36099
rmi://bordereau-87.bordeaux.grid5000.fr:40516,12072,38545
rmi://borderline-10.bordeaux.grid5000.fr:43670,12403,44630
rmi://bordereau-90.bordeaux.grid5000.fr:39039,12183,39333
rmi://bordereau-84.bordeaux.grid5000.fr:37913,11984,36480
rmi://bordereau-88.bordeaux.grid5000.fr:39735,11762,38141
rmi://borderline-6.bordeaux.grid5000.fr:48028,12000,38416
rmi://borderline-1.bordeaux.grid5000.fr:40966,12465,45308
rmi://bordereau-8.bordeaux.grid5000.fr:32826,11742,37236
rmi://borderline-8.bordeaux.grid5000.fr:54270,11476,33592
rmi://bordereau-91.bordeaux.grid5000.fr:43870,12071,38515
rmi://bordereau-92.bordeaux.grid5000.fr:40091,11670,33587
rmi://borderline-3.bordeaux.grid5000.fr:34198,11799,39223
rmi://bordereau-86.bordeaux.grid5000.fr:46029,12074,41074
rmi://borderline-9.bordeaux.grid5000.fr:45944,11781,41653
rmi://borderline-4.bordeaux.grid5000.fr:52969,11840,36327
rmi://borderline-5.bordeaux.grid5000.fr:38311,11699,36410
rmi://bordereau-85.bordeaux.grid5000.fr:38752,11703,33483
