WorkerName,StatesReceived,StatesComputed
rmi://bordereau-76.bordeaux.grid5000.fr:53997,8292,23239
rmi://bordereau-78.bordeaux.grid5000.fr:60207,7804,22836
rmi://bordereau-87.bordeaux.grid5000.fr:46495,8281,23546
rmi://bordereau-74.bordeaux.grid5000.fr:57964,8257,25536
rmi://bordereau-77.bordeaux.grid5000.fr:41368,8148,21724
rmi://borderline-6.bordeaux.grid5000.fr:34594,7955,26886
rmi://borderline-4.bordeaux.grid5000.fr:38316,7978,25460
rmi://bordereau-85.bordeaux.grid5000.fr:58837,8387,24413
rmi://bordereau-75.bordeaux.grid5000.fr:59278,7784,22740
rmi://borderline-9.bordeaux.grid5000.fr:42697,8571,28165
rmi://bordereau-8.bordeaux.grid5000.fr:57056,8255,22310
rmi://bordereau-93.bordeaux.grid5000.fr:51894,7916,22416
rmi://bordereau-90.bordeaux.grid5000.fr:42435,8282,24455
rmi://bordereau-88.bordeaux.grid5000.fr:42757,7834,21223
rmi://bordereau-7.bordeaux.grid5000.fr:36904,8364,27517
rmi://borderline-10.bordeaux.grid5000.fr:46484,8485,26336
rmi://bordereau-80.bordeaux.grid5000.fr:41935,7822,21672
rmi://bordereau-92.bordeaux.grid5000.fr:52374,8199,23776
rmi://borderline-2.bordeaux.grid5000.fr:56629,7886,20420
rmi://bordereau-91.bordeaux.grid5000.fr:42815,8466,25105
rmi://bordereau-82.bordeaux.grid5000.fr:54692,8295,24774
rmi://bordereau-86.bordeaux.grid5000.fr:39054,8140,22481
rmi://borderline-5.bordeaux.grid5000.fr:58534,7847,23474
rmi://borderline-1.bordeaux.grid5000.fr:57478,8584,29471
rmi://bordereau-84.bordeaux.grid5000.fr:44814,7943,20300
rmi://bordereau-81.bordeaux.grid5000.fr:58785,8323,25200
rmi://borderline-8.bordeaux.grid5000.fr:58198,8542,30058
rmi://bordereau-9.bordeaux.grid5000.fr:33262,8239,24838
rmi://borderline-3.bordeaux.grid5000.fr:52906,8011,24575
rmi://bordereau-89.bordeaux.grid5000.fr:44485,8718,28200
rmi://bordereau-83.bordeaux.grid5000.fr:56594,8006,21710
rmi://borderline-7.bordeaux.grid5000.fr:39329,8530,26598
