WorkerName,StatesReceived,StatesComputed
rmi://paradent-54.rennes.grid5000.fr:38579,5334,15855
rmi://paradent-5.rennes.grid5000.fr:38585,5340,17113
rmi://paradent-6.rennes.grid5000.fr:55446,5328,17847
rmi://paradent-59.rennes.grid5000.fr:54453,5339,17762
rmi://paradent-58.rennes.grid5000.fr:57992,5343,16445
rmi://paradent-52.rennes.grid5000.fr:58726,5321,16523
rmi://paradent-63.rennes.grid5000.fr:39662,5330,16481
rmi://paradent-56.rennes.grid5000.fr:58093,5342,17124
rmi://paradent-50.rennes.grid5000.fr:50198,5338,16850
rmi://paradent-64.rennes.grid5000.fr:57492,5345,17399
rmi://paramount-23.rennes.grid5000.fr:58498,4912,10417
rmi://paramount-24.rennes.grid5000.fr:37550,4913,11383
rmi://paradent-57.rennes.grid5000.fr:48593,5309,16290
rmi://paradent-55.rennes.grid5000.fr:33760,5367,16952
rmi://paradent-7.rennes.grid5000.fr:57157,5343,17741
rmi://paradent-53.rennes.grid5000.fr:40992,5335,16527
rmi://paradent-9.rennes.grid5000.fr:41176,5325,16338
rmi://paradent-60.rennes.grid5000.fr:52448,5344,17061
rmi://paramount-22.rennes.grid5000.fr:47357,4911,12124
rmi://paramount-25.rennes.grid5000.fr:45109,4929,11886
rmi://paradent-62.rennes.grid5000.fr:36346,5344,16271
rmi://paradent-61.rennes.grid5000.fr:41533,5345,15702
rmi://paradent-47.rennes.grid5000.fr:47561,5335,16030
rmi://paramount-33.rennes.grid5000.fr:33827,4905,11635
rmi://paramount-15.rennes.grid5000.fr:43174,4957,11701
rmi://paramount-32.rennes.grid5000.fr:42984,4929,10818
rmi://paramount-12.rennes.grid5000.fr:39918,4932,12263
rmi://paramount-1.rennes.grid5000.fr:33479,4919,10848
rmi://paramount-11.rennes.grid5000.fr:41362,4891,10577
rmi://paramount-30.rennes.grid5000.fr:53179,4924,11294
rmi://paramount-10.rennes.grid5000.fr:58319,4899,11855
rmi://paramount-9.rennes.grid5000.fr:55433,4910,11049
rmi://paramount-18.rennes.grid5000.fr:48420,4923,11267
rmi://paramount-27.rennes.grid5000.fr:41627,4909,10270
rmi://paramount-13.rennes.grid5000.fr:46263,4921,10657
rmi://paramount-6.rennes.grid5000.fr:42961,4914,11844
rmi://paramount-3.rennes.grid5000.fr:46247,5495,17462
rmi://paramount-28.rennes.grid5000.fr:54984,4936,11360
rmi://paramount-26.rennes.grid5000.fr:44463,4927,12608
rmi://paramount-29.rennes.grid5000.fr:49591,4925,11962
rmi://paramount-2.rennes.grid5000.fr:38609,4928,10773
rmi://paramount-5.rennes.grid5000.fr:52744,4921,11144
rmi://parapluie-1.rennes.grid5000.fr:42574,3497,2922
rmi://parapluie-21.rennes.grid5000.fr:50343,3487,2908
rmi://paramount-8.rennes.grid5000.fr:41827,4912,10530
rmi://parapluie-8.rennes.grid5000.fr:42055,3494,2734
rmi://parapluie-9.rennes.grid5000.fr:36284,3485,2563
rmi://parapluie-5.rennes.grid5000.fr:58870,3500,2593
rmi://parapluie-25.rennes.grid5000.fr:35732,3501,3286
rmi://parapluie-26.rennes.grid5000.fr:48547,3482,2649
rmi://parapluie-10.rennes.grid5000.fr:45720,3463,2528
rmi://parapluie-3.rennes.grid5000.fr:41479,3493,3472
rmi://paradent-49.rennes.grid5000.fr:57777,5342,16600
rmi://paradent-48.rennes.grid5000.fr:53042,5351,15970
