WorkerName,StatesReceived,StatesComputed
rmi://paradent-54.rennes.grid5000.fr:39449,4187,9572
rmi://paradent-25.rennes.grid5000.fr:49308,4467,14043
rmi://paradent-44.rennes.grid5000.fr:55484,4473,14026
rmi://paradent-36.rennes.grid5000.fr:41577,4481,12469
rmi://paradent-43.rennes.grid5000.fr:60928,4464,14470
rmi://paradent-48.rennes.grid5000.fr:56405,4462,14058
rmi://paradent-58.rennes.grid5000.fr:58774,4479,11902
rmi://paradent-29.rennes.grid5000.fr:51950,4454,13436
rmi://paradent-52.rennes.grid5000.fr:50879,4452,12904
rmi://paradent-53.rennes.grid5000.fr:38904,4492,13175
rmi://paradent-60.rennes.grid5000.fr:35086,4478,13285
rmi://paradent-56.rennes.grid5000.fr:52641,4478,12877
rmi://paradent-33.rennes.grid5000.fr:41429,4487,15185
rmi://paradent-55.rennes.grid5000.fr:47918,4497,14399
rmi://paradent-57.rennes.grid5000.fr:54586,4487,14226
rmi://paradent-61.rennes.grid5000.fr:43234,4432,13463
rmi://paramount-22.rennes.grid5000.fr:55403,4130,9669
rmi://paradent-49.rennes.grid5000.fr:60219,4461,13598
rmi://paradent-47.rennes.grid5000.fr:45776,4451,12094
rmi://paradent-62.rennes.grid5000.fr:46142,4435,13300
rmi://paradent-63.rennes.grid5000.fr:50212,4491,13688
rmi://paradent-7.rennes.grid5000.fr:55771,4467,13703
rmi://paramount-10.rennes.grid5000.fr:36623,4126,8794
rmi://paradent-64.rennes.grid5000.fr:43394,4490,14651
rmi://paradent-6.rennes.grid5000.fr:51173,4500,13829
rmi://paradent-5.rennes.grid5000.fr:51438,4493,14906
rmi://paradent-59.rennes.grid5000.fr:40022,4480,13349
rmi://paramount-30.rennes.grid5000.fr:57328,4097,9358
rmi://paramount-13.rennes.grid5000.fr:51447,3960,7626
rmi://paramount-12.rennes.grid5000.fr:34850,4099,9961
rmi://paramount-33.rennes.grid5000.fr:33463,3815,6852
rmi://paradent-9.rennes.grid5000.fr:42993,4472,13358
rmi://paramount-18.rennes.grid5000.fr:55798,4100,8795
rmi://paramount-24.rennes.grid5000.fr:40326,4113,9086
rmi://paramount-11.rennes.grid5000.fr:40128,4104,8518
rmi://paramount-1.rennes.grid5000.fr:37838,3833,7272
rmi://paramount-32.rennes.grid5000.fr:39400,4152,8867
rmi://paramount-23.rennes.grid5000.fr:43026,4104,9010
rmi://paramount-2.rennes.grid5000.fr:44352,4111,9076
rmi://paramount-28.rennes.grid5000.fr:51466,3965,7527
rmi://paramount-26.rennes.grid5000.fr:45672,4113,9413
rmi://paramount-3.rennes.grid5000.fr:40100,4009,7812
rmi://paramount-15.rennes.grid5000.fr:52111,4094,8768
rmi://paramount-25.rennes.grid5000.fr:33421,4154,9311
rmi://paramount-27.rennes.grid5000.fr:33705,4093,9219
rmi://parapluie-10.rennes.grid5000.fr:55974,2863,2108
rmi://paramount-29.rennes.grid5000.fr:33725,4162,9543
rmi://parapluie-26.rennes.grid5000.fr:57884,2852,2491
rmi://parapluie-21.rennes.grid5000.fr:59545,2849,1823
rmi://parapluie-25.rennes.grid5000.fr:47055,2865,2315
rmi://parapluie-1.rennes.grid5000.fr:59394,2857,1687
rmi://paramount-5.rennes.grid5000.fr:46322,4152,10066
rmi://parapluie-3.rennes.grid5000.fr:42016,2861,1965
rmi://parapluie-8.rennes.grid5000.fr:44027,2850,1937
rmi://parapluie-5.rennes.grid5000.fr:35187,2857,1760
rmi://paramount-6.rennes.grid5000.fr:50707,4132,10217
rmi://parapluie-9.rennes.grid5000.fr:46372,2913,2035
rmi://paramount-9.rennes.grid5000.fr:43567,4160,9516
rmi://paramount-8.rennes.grid5000.fr:35911,4182,10423
rmi://paradent-13.rennes.grid5000.fr:60885,4488,13508
rmi://paradent-12.rennes.grid5000.fr:37309,4432,12522
rmi://paradent-50.rennes.grid5000.fr:41985,4447,13312
rmi://paradent-38.rennes.grid5000.fr:37614,4538,14867
rmi://paradent-26.rennes.grid5000.fr:41327,4502,14428
