WorkerName,StatesReceived,StatesComputed
rmi://paradent-58.rennes.grid5000.fr:47792,16475,56257
rmi://paradent-5.rennes.grid5000.fr:40374,15719,40792
rmi://paradent-9.rennes.grid5000.fr:57744,16570,57941
rmi://paradent-64.rennes.grid5000.fr:34850,16524,56117
rmi://paradent-7.rennes.grid5000.fr:45708,16501,54064
rmi://paradent-6.rennes.grid5000.fr:51672,16541,54709
rmi://paradent-56.rennes.grid5000.fr:60314,16470,52506
rmi://paradent-63.rennes.grid5000.fr:55689,16479,56432
rmi://paradent-37.rennes.grid5000.fr:50167,16443,56410
rmi://paradent-34.rennes.grid5000.fr:32879,15587,47253
rmi://paradent-31.rennes.grid5000.fr:34046,16520,58553
rmi://paradent-39.rennes.grid5000.fr:55389,16500,55526
rmi://paradent-36.rennes.grid5000.fr:52900,16721,58901
rmi://paradent-4.rennes.grid5000.fr:47305,15906,44173
rmi://paradent-38.rennes.grid5000.fr:54611,16650,60024
rmi://paradent-33.rennes.grid5000.fr:40439,16538,58089
