WorkerName,StatesReceived,StatesComputed
rmi://bordereau-35.bordeaux.grid5000.fr:42718,8010,24641
rmi://bordereau-32.bordeaux.grid5000.fr:37949,8882,27668
rmi://bordereau-20.bordeaux.grid5000.fr:34906,8809,25657
rmi://bordereau-38.bordeaux.grid5000.fr:48679,8862,27005
rmi://bordereau-36.bordeaux.grid5000.fr:57086,8458,20589
rmi://bordereau-45.bordeaux.grid5000.fr:52520,8870,28312
rmi://bordereau-19.bordeaux.grid5000.fr:33339,8690,25183
rmi://bordereau-28.bordeaux.grid5000.fr:44265,8828,24874
rmi://bordereau-39.bordeaux.grid5000.fr:58637,8684,25074
rmi://bordereau-27.bordeaux.grid5000.fr:53186,8736,26714
rmi://bordereau-42.bordeaux.grid5000.fr:38802,8672,27914
rmi://bordereau-18.bordeaux.grid5000.fr:56699,8703,28983
rmi://bordereau-29.bordeaux.grid5000.fr:45153,8827,28111
rmi://bordereau-31.bordeaux.grid5000.fr:57344,8477,23861
rmi://bordereau-33.bordeaux.grid5000.fr:59061,8898,29265
rmi://bordereau-37.bordeaux.grid5000.fr:33232,8956,28603
rmi://bordereau-21.bordeaux.grid5000.fr:41852,8921,27208
rmi://bordereau-22.bordeaux.grid5000.fr:54987,8750,24581
rmi://bordereau-26.bordeaux.grid5000.fr:49827,8761,26381
rmi://bordereau-23.bordeaux.grid5000.fr:45250,8842,24476
rmi://bordereau-46.bordeaux.grid5000.fr:46535,8704,27621
rmi://bordereau-47.bordeaux.grid5000.fr:33469,8699,25111
rmi://bordereau-24.bordeaux.grid5000.fr:56659,8530,25171
rmi://bordereau-43.bordeaux.grid5000.fr:50661,8606,23408
rmi://bordereau-3.bordeaux.grid5000.fr:40844,8709,26135
rmi://bordereau-25.bordeaux.grid5000.fr:58317,8594,20827
rmi://bordereau-48.bordeaux.grid5000.fr:52974,8328,25468
rmi://bordereau-16.bordeaux.grid5000.fr:37688,9359,35211
rmi://bordereau-44.bordeaux.grid5000.fr:50396,9073,30356
rmi://bordereau-17.bordeaux.grid5000.fr:39233,8906,25147
