WorkerName,StatesReceived,StatesComputed
rmi://bordereau-17.bordeaux.grid5000.fr:45275,3323,10742
rmi://bordereau-42.bordeaux.grid5000.fr:53640,3267,10434
rmi://bordeplage-28.bordeaux.grid5000.fr:55125,2558,5968
rmi://bordeplage-43.bordeaux.grid5000.fr:46651,2592,5633
rmi://bordeplage-32.bordeaux.grid5000.fr:59998,2852,7408
rmi://bordeplage-22.bordeaux.grid5000.fr:55078,2531,5699
rmi://bordeplage-34.bordeaux.grid5000.fr:39363,2771,6997
rmi://bordeplage-45.bordeaux.grid5000.fr:46609,2841,6928
rmi://bordeplage-33.bordeaux.grid5000.fr:47550,2649,6258
rmi://bordeplage-48.bordeaux.grid5000.fr:37565,2580,6103
rmi://bordeplage-42.bordeaux.grid5000.fr:52788,2596,5520
rmi://bordeplage-50.bordeaux.grid5000.fr:59249,2763,6851
rmi://bordeplage-29.bordeaux.grid5000.fr:43298,2758,6902
rmi://bordeplage-20.bordeaux.grid5000.fr:39166,2697,6527
rmi://bordeplage-47.bordeaux.grid5000.fr:51275,2678,6660
rmi://bordeplage-35.bordeaux.grid5000.fr:42446,2731,7442
rmi://bordeplage-18.bordeaux.grid5000.fr:46606,2705,6891
rmi://bordeplage-19.bordeaux.grid5000.fr:47850,2694,6082
rmi://bordeplage-44.bordeaux.grid5000.fr:50361,2891,7565
rmi://bordeplage-2.bordeaux.grid5000.fr:44319,2639,6415
rmi://bordeplage-25.bordeaux.grid5000.fr:47608,2761,6807
rmi://bordereau-15.bordeaux.grid5000.fr:38855,3165,9395
rmi://bordeplage-24.bordeaux.grid5000.fr:39424,2702,6417
rmi://bordeplage-30.bordeaux.grid5000.fr:48243,2788,6398
rmi://bordeplage-27.bordeaux.grid5000.fr:32815,2669,7128
rmi://bordeplage-26.bordeaux.grid5000.fr:60931,2667,6199
rmi://bordereau-58.bordeaux.grid5000.fr:49232,2996,8992
rmi://bordeplage-16.bordeaux.grid5000.fr:52180,2567,5627
rmi://bordeplage-23.bordeaux.grid5000.fr:39918,2721,6698
rmi://bordeplage-41.bordeaux.grid5000.fr:39352,2510,5744
rmi://bordereau-19.bordeaux.grid5000.fr:33846,3100,9524
rmi://borderline-9.bordeaux.grid5000.fr:53182,3211,9766
rmi://bordereau-66.bordeaux.grid5000.fr:34229,3158,9971
rmi://bordereau-44.bordeaux.grid5000.fr:37915,3125,9721
rmi://bordeplage-36.bordeaux.grid5000.fr:43513,2910,7974
rmi://bordeplage-51.bordeaux.grid5000.fr:57943,2584,6632
rmi://bordeplage-4.bordeaux.grid5000.fr:37780,2532,6155
rmi://bordeplage-17.bordeaux.grid5000.fr:51089,2715,6842
rmi://borderline-6.bordeaux.grid5000.fr:34688,3242,9467
rmi://bordereau-71.bordeaux.grid5000.fr:52342,3159,9410
rmi://bordereau-77.bordeaux.grid5000.fr:47349,3267,11123
rmi://bordereau-86.bordeaux.grid5000.fr:44719,3234,9577
rmi://bordereau-9.bordeaux.grid5000.fr:37196,3179,9388
rmi://bordereau-29.bordeaux.grid5000.fr:58005,3156,10289
rmi://bordereau-87.bordeaux.grid5000.fr:48381,3235,11511
rmi://bordereau-74.bordeaux.grid5000.fr:55014,3193,10157
rmi://bordeplage-21.bordeaux.grid5000.fr:41423,2650,6618
rmi://borderline-4.bordeaux.grid5000.fr:48531,3054,8463
rmi://bordeplage-7.bordeaux.grid5000.fr:48828,2874,7539
rmi://borderline-3.bordeaux.grid5000.fr:45135,3102,9443
rmi://bordeplage-39.bordeaux.grid5000.fr:49438,2587,5812
rmi://bordereau-61.bordeaux.grid5000.fr:47047,3187,9021
rmi://bordereau-47.bordeaux.grid5000.fr:45994,3057,9563
rmi://bordeplage-3.bordeaux.grid5000.fr:57921,2667,6715
rmi://bordereau-8.bordeaux.grid5000.fr:55329,3321,10925
rmi://bordeplage-46.bordeaux.grid5000.fr:33328,2695,6333
rmi://bordeplage-38.bordeaux.grid5000.fr:38730,2584,5475
rmi://bordereau-46.bordeaux.grid5000.fr:35485,3266,9860
rmi://bordereau-70.bordeaux.grid5000.fr:37270,3115,9329
rmi://bordereau-80.bordeaux.grid5000.fr:57257,3028,9146
rmi://borderline-8.bordeaux.grid5000.fr:49992,3187,9475
rmi://bordereau-50.bordeaux.grid5000.fr:58048,3059,8904
rmi://bordereau-63.bordeaux.grid5000.fr:54416,3184,9390
rmi://bordereau-27.bordeaux.grid5000.fr:41248,3083,9412
rmi://bordeplage-6.bordeaux.grid5000.fr:42247,2885,7387
rmi://bordeplage-5.bordeaux.grid5000.fr:55576,2762,6815
rmi://borderline-10.bordeaux.grid5000.fr:60650,3132,8939
rmi://bordereau-69.bordeaux.grid5000.fr:43305,3198,10113
rmi://bordereau-7.bordeaux.grid5000.fr:33481,3184,9658
rmi://bordereau-54.bordeaux.grid5000.fr:52283,3087,8392
rmi://bordereau-84.bordeaux.grid5000.fr:41079,3150,9714
rmi://bordereau-51.bordeaux.grid5000.fr:41008,3213,11117
rmi://bordereau-52.bordeaux.grid5000.fr:48657,3273,10128
rmi://borderline-2.bordeaux.grid5000.fr:37524,3155,9972
rmi://borderline-7.bordeaux.grid5000.fr:39364,3171,9619
rmi://bordereau-67.bordeaux.grid5000.fr:36262,3118,9589
rmi://bordeplage-37.bordeaux.grid5000.fr:56846,2618,5583
rmi://borderline-5.bordeaux.grid5000.fr:43469,3148,9731
rmi://bordereau-5.bordeaux.grid5000.fr:35158,3002,8962
rmi://bordereau-82.bordeaux.grid5000.fr:48312,3152,9162
rmi://bordereau-76.bordeaux.grid5000.fr:45123,3140,9603
rmi://borderline-1.bordeaux.grid5000.fr:53074,3086,8948
rmi://bordereau-89.bordeaux.grid5000.fr:57930,3072,9948
rmi://bordereau-59.bordeaux.grid5000.fr:33253,3101,10053
rmi://bordereau-81.bordeaux.grid5000.fr:52121,3001,9615
rmi://bordereau-53.bordeaux.grid5000.fr:45803,3196,9308
rmi://bordeplage-40.bordeaux.grid5000.fr:35265,2638,5579
