WorkerName,StatesReceived,StatesComputed
rmi://bordereau-3.bordeaux.grid5000.fr:55643,14570,44791
rmi://borderline-7.bordeaux.grid5000.fr:45531,14340,41609
rmi://borderline-9.bordeaux.grid5000.fr:59192,14638,46948
rmi://bordereau-48.bordeaux.grid5000.fr:33066,14561,45625
rmi://bordereau-44.bordeaux.grid5000.fr:38449,14670,48807
rmi://borderline-2.bordeaux.grid5000.fr:32994,15285,56314
rmi://borderline-3.bordeaux.grid5000.fr:37479,14630,49362
rmi://borderline-4.bordeaux.grid5000.fr:41685,14323,48570
rmi://bordereau-43.bordeaux.grid5000.fr:43933,14320,46287
rmi://bordereau-39.bordeaux.grid5000.fr:53780,14599,43874
rmi://bordereau-45.bordeaux.grid5000.fr:40734,14366,43146
rmi://bordereau-47.bordeaux.grid5000.fr:55012,14534,46833
rmi://borderline-8.bordeaux.grid5000.fr:39695,15328,53570
rmi://bordereau-38.bordeaux.grid5000.fr:42154,14008,36537
rmi://bordereau-42.bordeaux.grid5000.fr:57717,14343,49052
rmi://bordereau-46.bordeaux.grid5000.fr:37099,14261,47122
rmi://borderline-5.bordeaux.grid5000.fr:50218,14443,45992
rmi://borderline-6.bordeaux.grid5000.fr:42055,14925,49909
