WorkerName,StatesReceived,StatesComputed
rmi://griffon-84.nancy.grid5000.fr:43829,16390,7889
rmi://griffon-84.nancy.grid5000.fr:43829,16335,7717
rmi://griffon-91.nancy.grid5000.fr:52003,16401,8464
rmi://griffon-84.nancy.grid5000.fr:43829,16389,7081
rmi://griffon-84.nancy.grid5000.fr:43829,16160,9659
rmi://griffon-91.nancy.grid5000.fr:52003,16508,8335
rmi://griffon-91.nancy.grid5000.fr:52003,16167,8025
rmi://griffon-91.nancy.grid5000.fr:52003,16560,6976
rmi://griffon-84.nancy.grid5000.fr:43829,16426,9333
rmi://griffon-84.nancy.grid5000.fr:43829,16137,9401
rmi://griffon-91.nancy.grid5000.fr:52003,16032,9284
rmi://griffon-84.nancy.grid5000.fr:43829,16941,8650
rmi://griffon-91.nancy.grid5000.fr:52003,16292,6133
rmi://griffon-91.nancy.grid5000.fr:52003,16764,10292
rmi://griffon-84.nancy.grid5000.fr:43829,16358,7724
rmi://griffon-91.nancy.grid5000.fr:52003,16284,7120
