WorkerName,StatesReceived,StatesComputed
rmi://bordereau-29.bordeaux.grid5000.fr:60029,5125,18082
rmi://bordereau-52.bordeaux.grid5000.fr:42177,4937,14200
rmi://bordereau-50.bordeaux.grid5000.fr:52325,4757,15587
rmi://bordereau-67.bordeaux.grid5000.fr:43452,5270,15543
rmi://bordereau-58.bordeaux.grid5000.fr:54769,5304,14344
rmi://bordereau-53.bordeaux.grid5000.fr:45196,4988,15430
rmi://bordereau-8.bordeaux.grid5000.fr:60911,5152,16534
rmi://borderline-8.bordeaux.grid5000.fr:43785,5081,17572
rmi://bordereau-71.bordeaux.grid5000.fr:41380,5001,16399
rmi://bordereau-59.bordeaux.grid5000.fr:45716,4450,13100
rmi://bordereau-7.bordeaux.grid5000.fr:42663,4991,15016
rmi://bordereau-70.bordeaux.grid5000.fr:56801,4825,14856
rmi://bordereau-46.bordeaux.grid5000.fr:47501,4923,14688
rmi://bordereau-54.bordeaux.grid5000.fr:37058,4757,15191
rmi://bordereau-19.bordeaux.grid5000.fr:33008,5269,17848
rmi://bordereau-35.bordeaux.grid5000.fr:53634,5039,15218
rmi://bordereau-63.bordeaux.grid5000.fr:55661,5015,15697
rmi://bordereau-66.bordeaux.grid5000.fr:60460,5293,16189
rmi://bordereau-15.bordeaux.grid5000.fr:39177,4958,13801
rmi://bordereau-42.bordeaux.grid5000.fr:40275,4977,16773
rmi://bordereau-86.bordeaux.grid5000.fr:42203,4766,13998
rmi://borderline-1.bordeaux.grid5000.fr:34586,5208,15968
rmi://bordereau-51.bordeaux.grid5000.fr:37024,4741,13723
rmi://bordereau-69.bordeaux.grid5000.fr:37449,4557,13854
rmi://bordereau-61.bordeaux.grid5000.fr:54576,5358,16776
rmi://bordereau-65.bordeaux.grid5000.fr:37948,4785,14929
rmi://borderline-9.bordeaux.grid5000.fr:51163,5242,16341
rmi://bordereau-76.bordeaux.grid5000.fr:42721,5080,15067
rmi://borderline-10.bordeaux.grid5000.fr:54800,5190,17871
rmi://bordereau-5.bordeaux.grid5000.fr:58625,4929,15734
rmi://bordereau-17.bordeaux.grid5000.fr:38098,4825,15215
rmi://bordereau-44.bordeaux.grid5000.fr:47251,4838,14433
rmi://borderline-5.bordeaux.grid5000.fr:57935,5395,18122
rmi://bordereau-27.bordeaux.grid5000.fr:33161,4975,13313
rmi://borderline-3.bordeaux.grid5000.fr:53225,5255,15585
rmi://borderline-4.bordeaux.grid5000.fr:35039,5228,16444
rmi://bordereau-47.bordeaux.grid5000.fr:54897,4849,15248
rmi://bordereau-74.bordeaux.grid5000.fr:47591,5156,15883
rmi://bordereau-9.bordeaux.grid5000.fr:38815,4694,14032
rmi://bordereau-81.bordeaux.grid5000.fr:51209,5285,15796
rmi://bordereau-89.bordeaux.grid5000.fr:34563,4643,14527
rmi://bordeplage-51.bordeaux.grid5000.fr:46229,4184,10524
rmi://bordereau-84.bordeaux.grid5000.fr:60329,5445,17039
rmi://bordereau-87.bordeaux.grid5000.fr:34273,5086,14117
rmi://bordereau-82.bordeaux.grid5000.fr:50524,4740,14169
rmi://bordereau-80.bordeaux.grid5000.fr:51653,4839,13853
rmi://borderline-6.bordeaux.grid5000.fr:55568,5229,14866
rmi://borderline-7.bordeaux.grid5000.fr:46549,4625,13558
rmi://bordereau-77.bordeaux.grid5000.fr:54647,5191,15632
rmi://bordeplage-5.bordeaux.grid5000.fr:57085,4262,10595
rmi://borderline-2.bordeaux.grid5000.fr:52877,4788,14330
rmi://bordeplage-6.bordeaux.grid5000.fr:43766,4277,11513
rmi://bordeplage-7.bordeaux.grid5000.fr:53799,4367,10847
