WorkerName,StatesReceived,StatesComputed
rmi://paradent-20.rennes.grid5000.fr:58621,3158,8866
rmi://paradent-17.rennes.grid5000.fr:42123,3170,9382
rmi://paradent-28.rennes.grid5000.fr:53463,3168,8696
rmi://paradent-37.rennes.grid5000.fr:44633,3155,8464
rmi://paradent-22.rennes.grid5000.fr:52993,3159,9496
rmi://paradent-15.rennes.grid5000.fr:47506,3157,9133
rmi://paradent-18.rennes.grid5000.fr:41848,3159,8561
rmi://paradent-30.rennes.grid5000.fr:53522,3166,8664
rmi://paradent-32.rennes.grid5000.fr:37161,3159,8066
rmi://paradent-38.rennes.grid5000.fr:48387,3152,8964
rmi://paradent-36.rennes.grid5000.fr:39933,3160,8143
rmi://paradent-23.rennes.grid5000.fr:35331,3159,8120
rmi://paradent-16.rennes.grid5000.fr:40594,3159,10483
rmi://paradent-26.rennes.grid5000.fr:33167,3155,7788
rmi://paradent-25.rennes.grid5000.fr:40040,3152,8557
rmi://paradent-14.rennes.grid5000.fr:32868,3158,7898
rmi://paradent-35.rennes.grid5000.fr:35592,3158,8783
rmi://paradent-41.rennes.grid5000.fr:42498,3147,8331
rmi://paradent-34.rennes.grid5000.fr:50131,3157,8231
rmi://paradent-4.rennes.grid5000.fr:43255,3159,8473
rmi://paradent-19.rennes.grid5000.fr:53292,3158,8615
rmi://paradent-39.rennes.grid5000.fr:53757,3129,7999
rmi://paradent-3.rennes.grid5000.fr:50544,3155,10351
rmi://paradent-43.rennes.grid5000.fr:36167,3146,8609
rmi://paradent-31.rennes.grid5000.fr:40755,3156,9853
rmi://paradent-27.rennes.grid5000.fr:58450,3152,8200
rmi://paradent-45.rennes.grid5000.fr:55965,3154,9934
rmi://paradent-2.rennes.grid5000.fr:60949,3156,9515
rmi://paradent-29.rennes.grid5000.fr:57021,3159,8474
rmi://paradent-44.rennes.grid5000.fr:41866,3157,8846
rmi://paradent-48.rennes.grid5000.fr:44152,3147,9508
rmi://paradent-56.rennes.grid5000.fr:50966,3165,8566
rmi://paradent-33.rennes.grid5000.fr:52146,3145,7786
rmi://paradent-7.rennes.grid5000.fr:47110,3155,8922
rmi://paradent-50.rennes.grid5000.fr:56801,3160,8517
rmi://paradent-46.rennes.grid5000.fr:45828,3161,7807
rmi://paradent-54.rennes.grid5000.fr:56994,3154,8004
rmi://paradent-55.rennes.grid5000.fr:48176,3153,9776
rmi://paradent-53.rennes.grid5000.fr:53736,3159,8479
rmi://paradent-58.rennes.grid5000.fr:38598,3153,8732
rmi://paradent-49.rennes.grid5000.fr:56787,3150,8447
rmi://paradent-47.rennes.grid5000.fr:33941,3159,9854
rmi://paradent-62.rennes.grid5000.fr:49878,3157,8185
rmi://paradent-40.rennes.grid5000.fr:43320,3161,8182
rmi://paradent-64.rennes.grid5000.fr:42605,3161,9027
rmi://paradent-60.rennes.grid5000.fr:47296,3166,8824
rmi://paradent-5.rennes.grid5000.fr:47320,3149,9625
rmi://paradent-9.rennes.grid5000.fr:40908,3155,9399
rmi://paramount-10.rennes.grid5000.fr:42469,2983,6447
rmi://paradent-59.rennes.grid5000.fr:51497,3159,8284
rmi://paramount-22.rennes.grid5000.fr:60071,2911,5354
rmi://paradent-24.rennes.grid5000.fr:39074,3150,8385
rmi://paradent-52.rennes.grid5000.fr:60752,3152,9172
rmi://paradent-6.rennes.grid5000.fr:50965,3157,7878
rmi://paradent-57.rennes.grid5000.fr:40346,3143,8682
rmi://paradent-61.rennes.grid5000.fr:33438,3158,8536
rmi://paramount-12.rennes.grid5000.fr:43497,2906,5235
rmi://paramount-13.rennes.grid5000.fr:49346,2912,5371
rmi://paramount-1.rennes.grid5000.fr:54478,2914,5660
rmi://paramount-11.rennes.grid5000.fr:43482,2906,4842
rmi://paradent-63.rennes.grid5000.fr:59601,3158,9164
rmi://paramount-23.rennes.grid5000.fr:58401,2904,5317
rmi://paramount-18.rennes.grid5000.fr:57246,2908,5424
rmi://paramount-6.rennes.grid5000.fr:50522,2909,5702
rmi://paramount-32.rennes.grid5000.fr:34803,2909,4816
rmi://paramount-5.rennes.grid5000.fr:45041,2901,5001
rmi://paramount-28.rennes.grid5000.fr:50678,2866,5132
rmi://paramount-30.rennes.grid5000.fr:55538,2897,5426
rmi://paramount-9.rennes.grid5000.fr:53188,2909,5203
rmi://paramount-8.rennes.grid5000.fr:47053,2909,5550
rmi://paramount-27.rennes.grid5000.fr:56221,3236,10785
rmi://paramount-29.rennes.grid5000.fr:54064,2903,4938
rmi://paramount-24.rennes.grid5000.fr:56718,2904,5914
rmi://paramount-26.rennes.grid5000.fr:59741,2904,5396
rmi://paramount-15.rennes.grid5000.fr:51165,2916,5323
rmi://paramount-33.rennes.grid5000.fr:58724,2901,4606
rmi://paramount-2.rennes.grid5000.fr:56064,2908,5116
rmi://parapluie-5.rennes.grid5000.fr:51577,2066,1200
rmi://parapluie-3.rennes.grid5000.fr:37576,2049,740
rmi://paramount-25.rennes.grid5000.fr:42472,2775,3899
rmi://parapluie-26.rennes.grid5000.fr:33679,2054,1255
rmi://paramount-3.rennes.grid5000.fr:55274,2919,5165
rmi://parapluie-21.rennes.grid5000.fr:47676,2066,1135
rmi://parapluie-1.rennes.grid5000.fr:34046,2054,890
rmi://parapluie-9.rennes.grid5000.fr:60111,2062,1227
rmi://parapluie-10.rennes.grid5000.fr:33618,2068,1364
rmi://parapluie-25.rennes.grid5000.fr:42893,2069,1278
rmi://parapluie-8.rennes.grid5000.fr:60030,2070,1309
