WorkerName,StatesReceived,StatesComputed
rmi://bordereau-64.bordeaux.grid5000.fr:57402,5764,18277
rmi://bordereau-75.bordeaux.grid5000.fr:34880,5638,15116
rmi://bordereau-8.bordeaux.grid5000.fr:59244,5604,13632
rmi://borderline-1.bordeaux.grid5000.fr:59971,5613,14128
rmi://borderline-4.bordeaux.grid5000.fr:54648,5684,16324
rmi://bordereau-73.bordeaux.grid5000.fr:38800,5821,17136
rmi://bordereau-62.bordeaux.grid5000.fr:57361,5573,14580
rmi://bordereau-70.bordeaux.grid5000.fr:33462,5681,15073
rmi://bordereau-72.bordeaux.grid5000.fr:57841,5632,14813
rmi://bordereau-76.bordeaux.grid5000.fr:37515,5847,18496
rmi://bordereau-77.bordeaux.grid5000.fr:43496,5661,14370
rmi://bordereau-7.bordeaux.grid5000.fr:49125,5811,18100
rmi://bordereau-86.bordeaux.grid5000.fr:54970,5660,15153
rmi://bordereau-69.bordeaux.grid5000.fr:47350,5846,18005
rmi://bordereau-84.bordeaux.grid5000.fr:60593,5710,18293
rmi://bordereau-68.bordeaux.grid5000.fr:51144,5612,14280
rmi://bordereau-71.bordeaux.grid5000.fr:36217,5708,15406
rmi://bordereau-66.bordeaux.grid5000.fr:41172,5614,16012
rmi://bordereau-74.bordeaux.grid5000.fr:51266,5693,16480
rmi://bordereau-63.bordeaux.grid5000.fr:47501,5645,15356
rmi://bordereau-80.bordeaux.grid5000.fr:60669,5732,16241
rmi://bordereau-92.bordeaux.grid5000.fr:59470,5836,18573
rmi://bordereau-6.bordeaux.grid5000.fr:59516,5686,16754
rmi://borderline-3.bordeaux.grid5000.fr:40756,5784,18425
rmi://bordereau-9.bordeaux.grid5000.fr:54339,5594,17857
rmi://bordereau-83.bordeaux.grid5000.fr:43209,5797,17146
rmi://bordereau-61.bordeaux.grid5000.fr:38717,5883,19220
rmi://borderline-5.bordeaux.grid5000.fr:43926,5790,16775
rmi://bordereau-91.bordeaux.grid5000.fr:53835,5549,15255
rmi://bordereau-88.bordeaux.grid5000.fr:48988,5712,15981
rmi://bordereau-82.bordeaux.grid5000.fr:55456,5778,17191
rmi://bordereau-93.bordeaux.grid5000.fr:56938,5699,16585
rmi://bordereau-65.bordeaux.grid5000.fr:46904,5717,17168
rmi://borderline-10.bordeaux.grid5000.fr:34919,5765,16896
rmi://bordereau-78.bordeaux.grid5000.fr:44926,5527,12722
rmi://bordereau-67.bordeaux.grid5000.fr:50277,5696,17132
rmi://bordereau-87.bordeaux.grid5000.fr:52226,5567,13073
rmi://bordereau-89.bordeaux.grid5000.fr:41251,5779,18198
rmi://borderline-7.bordeaux.grid5000.fr:51666,5731,17133
rmi://borderline-6.bordeaux.grid5000.fr:59639,5530,14247
rmi://bordereau-90.bordeaux.grid5000.fr:33616,5688,16974
rmi://bordereau-85.bordeaux.grid5000.fr:58289,5746,15999
rmi://borderline-8.bordeaux.grid5000.fr:58427,5866,17982
rmi://borderline-9.bordeaux.grid5000.fr:48388,5649,15731
rmi://borderline-2.bordeaux.grid5000.fr:42180,5624,14062
rmi://bordereau-81.bordeaux.grid5000.fr:39371,5602,15199
