WorkerName,StatesReceived,StatesComputed
rmi://borderline-6.bordeaux.grid5000.fr:34428,32622,123757
rmi://borderline-3.bordeaux.grid5000.fr:37130,33063,116361
rmi://borderline-9.bordeaux.grid5000.fr:60769,32822,122386
rmi://borderline-8.bordeaux.grid5000.fr:40648,32942,126606
rmi://borderline-4.bordeaux.grid5000.fr:33200,31889,100413
rmi://borderline-5.bordeaux.grid5000.fr:47617,33158,122424
rmi://borderline-2.bordeaux.grid5000.fr:57565,33371,126365
rmi://borderline-7.bordeaux.grid5000.fr:51433,32277,113886
