WorkerName,StatesReceived,StatesComputed
rmi://paradent-50.rennes.grid5000.fr:44108,4437,13210
rmi://paradent-48.rennes.grid5000.fr:45389,4444,12526
rmi://paradent-13.rennes.grid5000.fr:48425,4434,13580
rmi://paradent-25.rennes.grid5000.fr:43218,4266,11182
rmi://paradent-12.rennes.grid5000.fr:32955,4440,12687
rmi://paradent-54.rennes.grid5000.fr:45967,4449,12727
rmi://paradent-56.rennes.grid5000.fr:48202,4447,12832
rmi://paradent-36.rennes.grid5000.fr:47239,4438,13298
rmi://paradent-33.rennes.grid5000.fr:36520,4435,14334
rmi://paradent-26.rennes.grid5000.fr:57337,4446,15062
rmi://paradent-49.rennes.grid5000.fr:50455,4442,12599
rmi://paradent-47.rennes.grid5000.fr:55431,4429,14098
rmi://paradent-44.rennes.grid5000.fr:38501,4440,12907
rmi://paradent-63.rennes.grid5000.fr:59366,4441,14058
rmi://paradent-52.rennes.grid5000.fr:47025,4442,15067
rmi://paradent-6.rennes.grid5000.fr:37856,4444,14077
rmi://paradent-43.rennes.grid5000.fr:34227,4439,12848
rmi://paradent-5.rennes.grid5000.fr:39575,4441,12063
rmi://paradent-58.rennes.grid5000.fr:59343,4433,13495
rmi://paradent-57.rennes.grid5000.fr:48348,4432,13018
rmi://paradent-61.rennes.grid5000.fr:58146,4444,12389
rmi://paradent-59.rennes.grid5000.fr:38730,4439,13088
rmi://paradent-7.rennes.grid5000.fr:60487,4435,14661
rmi://paradent-53.rennes.grid5000.fr:47191,4443,13679
rmi://paradent-60.rennes.grid5000.fr:56483,4444,13115
rmi://paradent-64.rennes.grid5000.fr:41948,4428,13439
rmi://paradent-38.rennes.grid5000.fr:60069,4442,13579
rmi://paradent-55.rennes.grid5000.fr:39070,4438,13012
rmi://paradent-62.rennes.grid5000.fr:35153,4436,14178
rmi://paramount-25.rennes.grid5000.fr:40903,4083,8069
rmi://paramount-12.rennes.grid5000.fr:39072,4554,15185
rmi://paramount-15.rennes.grid5000.fr:37076,4089,9699
rmi://paramount-28.rennes.grid5000.fr:57636,4074,8190
rmi://paramount-27.rennes.grid5000.fr:42714,3915,6891
rmi://paramount-26.rennes.grid5000.fr:47039,4076,8754
rmi://paramount-24.rennes.grid5000.fr:42382,4073,8771
rmi://paramount-13.rennes.grid5000.fr:48608,4105,8580
rmi://paramount-30.rennes.grid5000.fr:40703,4014,7200
rmi://paramount-22.rennes.grid5000.fr:41227,4082,8627
rmi://paramount-1.rennes.grid5000.fr:55401,4091,7957
rmi://paramount-18.rennes.grid5000.fr:42457,4104,8453
rmi://paramount-33.rennes.grid5000.fr:37755,4087,7993
rmi://paramount-23.rennes.grid5000.fr:52000,4076,8867
rmi://paramount-11.rennes.grid5000.fr:46964,4074,8028
rmi://paramount-10.rennes.grid5000.fr:41040,4084,8098
rmi://paradent-9.rennes.grid5000.fr:40396,4439,13294
rmi://paramount-2.rennes.grid5000.fr:34905,4371,11391
rmi://paramount-9.rennes.grid5000.fr:45385,4083,8760
rmi://paramount-29.rennes.grid5000.fr:40488,4102,8413
rmi://paramount-5.rennes.grid5000.fr:54435,4074,8858
rmi://paramount-6.rennes.grid5000.fr:58002,4084,8860
rmi://paramount-32.rennes.grid5000.fr:33427,4094,9737
rmi://paramount-8.rennes.grid5000.fr:46780,4095,8437
rmi://paramount-3.rennes.grid5000.fr:58650,4091,8917
rmi://parapluie-8.rennes.grid5000.fr:42535,2907,2418
rmi://parapluie-25.rennes.grid5000.fr:53619,2905,2725
rmi://parapluie-21.rennes.grid5000.fr:43699,2913,2331
rmi://parapluie-10.rennes.grid5000.fr:52327,2907,2514
rmi://parapluie-3.rennes.grid5000.fr:52368,2877,2011
rmi://parapluie-26.rennes.grid5000.fr:44536,2908,2065
rmi://parapluie-9.rennes.grid5000.fr:37610,2900,2307
rmi://parapluie-5.rennes.grid5000.fr:59122,2897,2399
rmi://parapluie-1.rennes.grid5000.fr:35302,2909,2377
rmi://paradent-29.rennes.grid5000.fr:51970,4439,12375
