Listening for transport dt_socket at address: 1044
TLC2 Version 2.05 of 23 July 2013
Running in Model-Checking mode.
Parsing file l12_n10.tla
Parsing file GridPerformanceTest.tla
Parsing file /mnt/tlc/40283/tla/tla2sany/StandardModules/TLC.tla
Parsing file /mnt/tlc/40283/tla/tla2sany/StandardModules/Integers.tla
Parsing file /mnt/tlc/40283/tla/tla2sany/StandardModules/FiniteSets.tla
Parsing file /mnt/tlc/40283/tla/tla2sany/StandardModules/Naturals.tla
Parsing file /mnt/tlc/40283/tla/tla2sany/StandardModules/Sequences.tla
Semantic processing of module Naturals
Semantic processing of module Integers
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module GridPerformanceTest
Semantic processing of module TLC
Semantic processing of module l12_n10
Starting... (2015-01-07 18:50:03)
Computing initial states...
Finished computing initial states: 1 distinct state generated.
Progress(9) at 2015-01-07 18:50:11: 46329 states generated (46,329 s/min), 13780 distinct states found (13,780 ds/min), 9138 states left on queue.
Progress(14) at 2015-01-07 18:51:11: 1193628 states generated (1,147,298 s/min), 249054 distinct states found (235,274 ds/min), 129684 states left on queue.
Progress(15) at 2015-01-07 18:52:11: 2474807 states generated (1,281,180 s/min), 485995 distinct states found (236,941 ds/min), 238506 states left on queue.
Progress(15) at 2015-01-07 18:53:11: 3761133 states generated (1,286,326 s/min), 712692 distinct states found (226,697 ds/min), 336571 states left on queue.
Progress(15) at 2015-01-07 18:54:11: 5075518 states generated (1,314,384 s/min), 943691 distinct states found (230,999 ds/min), 436131 states left on queue.
Progress(15) at 2015-01-07 18:55:11: 6370077 states generated (1,294,557 s/min), 1168003 distinct states found (224,312 ds/min), 530988 states left on queue.
Progress(15) at 2015-01-07 18:56:11: 7640124 states generated (1,270,046 s/min), 1371391 distinct states found (203,388 ds/min), 607371 states left on queue.
Progress(17) at 2015-01-07 18:57:11: 8949189 states generated (1,309,066 s/min), 1592374 distinct states found (220,983 ds/min), 697446 states left on queue.
Progress(17) at 2015-01-07 18:58:11: 10258280 states generated (1,309,094 s/min), 1806764 distinct states found (214,390 ds/min), 780929 states left on queue.
Progress(17) at 2015-01-07 18:59:11: 11568118 states generated (1,309,834 s/min), 2028502 distinct states found (221,738 ds/min), 871679 states left on queue.
Progress(17) at 2015-01-07 19:00:11: 12823046 states generated (1,254,930 s/min), 2220473 distinct states found (191,971 ds/min), 938158 states left on queue.
Progress(17) at 2015-01-07 19:01:11: 14101726 states generated (1,278,679 s/min), 2415686 distinct states found (195,213 ds/min), 1005505 states left on queue.
Progress(18) at 2015-01-07 19:02:11: 15405826 states generated (1,304,100 s/min), 2630882 distinct states found (215,196 ds/min), 1090292 states left on queue.
Progress(18) at 2015-01-07 19:03:11: 16714830 states generated (1,309,007 s/min), 2850190 distinct states found (219,308 ds/min), 1178699 states left on queue.
Progress(18) at 2015-01-07 19:04:11: 18025889 states generated (1,311,056 s/min), 3051157 distinct states found (200,967 ds/min), 1248559 states left on queue.
Progress(18) at 2015-01-07 19:05:11: 19265441 states generated (1,239,554 s/min), 3254525 distinct states found (203,368 ds/min), 1327971 states left on queue.
Progress(18) at 2015-01-07 19:06:11: 20535610 states generated (1,270,168 s/min), 3456906 distinct states found (202,381 ds/min), 1403337 states left on queue.
Progress(18) at 2015-01-07 19:07:11: 21848242 states generated (1,312,632 s/min), 3651397 distinct states found (194,491 ds/min), 1466566 states left on queue.
