WorkerName,StatesReceived,StatesComputed
rmi://bordereau-86.bordeaux.grid5000.fr:39519,8246,27280
rmi://bordereau-81.bordeaux.grid5000.fr:57950,8184,26007
rmi://bordereau-78.bordeaux.grid5000.fr:54265,8282,28390
rmi://bordereau-77.bordeaux.grid5000.fr:50391,8378,26129
rmi://bordereau-92.bordeaux.grid5000.fr:48073,8427,26582
rmi://bordereau-8.bordeaux.grid5000.fr:36615,8251,25584
rmi://bordereau-90.bordeaux.grid5000.fr:46475,8256,24913
rmi://bordereau-75.bordeaux.grid5000.fr:33167,8020,21691
rmi://bordereau-76.bordeaux.grid5000.fr:35832,8148,23525
rmi://bordereau-88.bordeaux.grid5000.fr:37332,8284,26913
rmi://bordereau-85.bordeaux.grid5000.fr:33656,8164,26087
rmi://bordereau-83.bordeaux.grid5000.fr:33139,8024,20342
rmi://bordereau-74.bordeaux.grid5000.fr:45975,8165,24254
rmi://bordereau-80.bordeaux.grid5000.fr:53162,8310,25054
rmi://bordereau-93.bordeaux.grid5000.fr:50767,8120,22857
rmi://bordereau-91.bordeaux.grid5000.fr:39572,8202,23558
rmi://borderline-7.bordeaux.grid5000.fr:50036,8255,25536
rmi://bordereau-82.bordeaux.grid5000.fr:49355,7981,21176
rmi://borderline-2.bordeaux.grid5000.fr:52948,8410,27215
rmi://bordereau-89.bordeaux.grid5000.fr:60466,8025,24126
rmi://borderline-6.bordeaux.grid5000.fr:43153,8033,20529
rmi://borderline-1.bordeaux.grid5000.fr:56015,8099,22997
rmi://bordereau-84.bordeaux.grid5000.fr:47974,8285,23616
rmi://bordereau-7.bordeaux.grid5000.fr:42577,8128,24953
rmi://borderline-9.bordeaux.grid5000.fr:58165,8281,26492
rmi://borderline-10.bordeaux.grid5000.fr:54870,8282,25942
rmi://bordereau-87.bordeaux.grid5000.fr:44944,8251,25789
rmi://borderline-8.bordeaux.grid5000.fr:50129,8359,25361
rmi://bordereau-9.bordeaux.grid5000.fr:48743,8024,24312
rmi://borderline-5.bordeaux.grid5000.fr:50350,8054,23295
rmi://borderline-4.bordeaux.grid5000.fr:35766,8395,28568
rmi://borderline-3.bordeaux.grid5000.fr:56801,7821,17239
