WorkerName,StatesReceived,StatesComputed
rmi://paradent-17.rennes.grid5000.fr:47465,3212,9968
rmi://paradent-26.rennes.grid5000.fr:43883,3186,8781
rmi://paradent-25.rennes.grid5000.fr:53939,3146,9847
rmi://paradent-19.rennes.grid5000.fr:60578,3139,7700
rmi://paradent-23.rennes.grid5000.fr:58301,3201,9254
rmi://paradent-28.rennes.grid5000.fr:59151,3144,9259
rmi://paradent-29.rennes.grid5000.fr:35311,3209,8384
rmi://paradent-22.rennes.grid5000.fr:49373,3182,9154
rmi://paradent-27.rennes.grid5000.fr:55026,3213,9460
rmi://paradent-14.rennes.grid5000.fr:48428,3161,9917
rmi://paradent-20.rennes.grid5000.fr:36413,3184,8786
rmi://paradent-16.rennes.grid5000.fr:50857,3190,8547
rmi://paradent-37.rennes.grid5000.fr:54662,3229,10671
rmi://paradent-34.rennes.grid5000.fr:47909,3129,7936
rmi://paradent-33.rennes.grid5000.fr:51433,3192,10488
rmi://paradent-38.rennes.grid5000.fr:41187,3074,8351
rmi://paradent-31.rennes.grid5000.fr:50853,3168,8366
rmi://paradent-39.rennes.grid5000.fr:56858,3185,10197
rmi://paradent-35.rennes.grid5000.fr:48746,3157,8219
rmi://paradent-36.rennes.grid5000.fr:45263,3156,8121
rmi://paradent-30.rennes.grid5000.fr:59904,3197,9312
rmi://paradent-18.rennes.grid5000.fr:49996,3180,9035
rmi://paradent-2.rennes.grid5000.fr:37144,3168,9247
rmi://paradent-45.rennes.grid5000.fr:44620,3202,9032
rmi://paradent-40.rennes.grid5000.fr:60633,3159,8521
rmi://paradent-5.rennes.grid5000.fr:42235,3212,9319
rmi://paradent-46.rennes.grid5000.fr:41520,3192,9194
rmi://paradent-44.rennes.grid5000.fr:43951,3171,8561
rmi://paradent-4.rennes.grid5000.fr:34107,3007,6449
rmi://paradent-41.rennes.grid5000.fr:38516,3179,9505
rmi://paradent-3.rennes.grid5000.fr:37392,3174,8541
rmi://paradent-54.rennes.grid5000.fr:40492,3213,9603
rmi://paradent-56.rennes.grid5000.fr:47177,3165,10263
rmi://paradent-52.rennes.grid5000.fr:36647,3160,8705
rmi://paradent-49.rennes.grid5000.fr:43443,3211,9056
rmi://paradent-9.rennes.grid5000.fr:35082,3182,9165
rmi://paradent-48.rennes.grid5000.fr:40200,3215,9556
rmi://paradent-64.rennes.grid5000.fr:54863,3192,9505
rmi://paradent-32.rennes.grid5000.fr:34110,3185,9448
rmi://paradent-58.rennes.grid5000.fr:59053,3205,9577
rmi://paradent-50.rennes.grid5000.fr:53222,3177,9023
rmi://paradent-61.rennes.grid5000.fr:38291,3143,9284
rmi://paradent-47.rennes.grid5000.fr:39628,3185,8785
rmi://paradent-62.rennes.grid5000.fr:59933,3196,8488
rmi://paradent-57.rennes.grid5000.fr:52750,3195,9513
rmi://paradent-59.rennes.grid5000.fr:48092,3181,8291
rmi://paradent-55.rennes.grid5000.fr:56033,3137,8418
rmi://paradent-53.rennes.grid5000.fr:59330,3163,10022
rmi://paradent-63.rennes.grid5000.fr:40916,3174,9799
rmi://paradent-7.rennes.grid5000.fr:49652,3126,8392
rmi://paradent-43.rennes.grid5000.fr:34346,3144,8475
rmi://paramount-12.rennes.grid5000.fr:33274,2764,4078
rmi://paramount-11.rennes.grid5000.fr:38572,2780,4573
rmi://paramount-22.rennes.grid5000.fr:59465,2953,6535
rmi://paradent-60.rennes.grid5000.fr:41596,3195,8773
rmi://paramount-32.rennes.grid5000.fr:43639,2922,5859
rmi://paramount-33.rennes.grid5000.fr:39392,2954,6471
rmi://paradent-6.rennes.grid5000.fr:45969,3198,9162
rmi://paramount-10.rennes.grid5000.fr:33488,2932,6668
rmi://paramount-1.rennes.grid5000.fr:41934,2960,5952
rmi://paramount-9.rennes.grid5000.fr:48459,2901,5521
rmi://paramount-24.rennes.grid5000.fr:44491,2952,6367
rmi://paramount-26.rennes.grid5000.fr:32789,2758,3521
rmi://paramount-27.rennes.grid5000.fr:33505,2874,5415
rmi://paramount-5.rennes.grid5000.fr:41350,2894,5755
rmi://paramount-30.rennes.grid5000.fr:51517,2737,3922
rmi://paramount-2.rennes.grid5000.fr:44513,2889,5282
rmi://paramount-28.rennes.grid5000.fr:45044,2888,5759
rmi://paramount-15.rennes.grid5000.fr:43642,2915,5792
rmi://paramount-29.rennes.grid5000.fr:50680,2936,6701
rmi://paramount-25.rennes.grid5000.fr:34612,2932,5847
rmi://paramount-3.rennes.grid5000.fr:56084,2706,3704
rmi://paramount-18.rennes.grid5000.fr:35981,2945,5982
rmi://paramount-13.rennes.grid5000.fr:36103,2889,5303
rmi://paramount-23.rennes.grid5000.fr:35420,2934,6273
rmi://parapluie-21.rennes.grid5000.fr:39483,2068,969
rmi://parapluie-3.rennes.grid5000.fr:58477,2066,1199
rmi://paramount-6.rennes.grid5000.fr:36702,2775,4993
rmi://parapluie-9.rennes.grid5000.fr:52748,2047,988
rmi://parapluie-5.rennes.grid5000.fr:39321,2045,1192
rmi://paramount-8.rennes.grid5000.fr:45244,2914,6669
rmi://parapluie-10.rennes.grid5000.fr:41546,2016,625
rmi://parapluie-8.rennes.grid5000.fr:48503,2030,1058
rmi://parapluie-26.rennes.grid5000.fr:51659,2058,1013
rmi://parapluie-25.rennes.grid5000.fr:56688,2027,889
rmi://parapluie-1.rennes.grid5000.fr:41259,2056,1188
rmi://paradent-24.rennes.grid5000.fr:42782,3191,8756
rmi://paradent-15.rennes.grid5000.fr:32926,3196,7638
