WorkerName,StatesReceived,StatesComputed
rmi://bordereau-38.bordeaux.grid5000.fr:35087,22041,76047
rmi://bordereau-48.bordeaux.grid5000.fr:36484,21605,76836
rmi://bordereau-39.bordeaux.grid5000.fr:51160,21200,66748
rmi://bordereau-44.bordeaux.grid5000.fr:58370,21667,75470
rmi://bordereau-42.bordeaux.grid5000.fr:57129,21813,75525
rmi://bordereau-3.bordeaux.grid5000.fr:49593,22170,81331
rmi://bordereau-46.bordeaux.grid5000.fr:43343,21983,77110
rmi://bordereau-45.bordeaux.grid5000.fr:36997,21934,73273
rmi://bordereau-47.bordeaux.grid5000.fr:36508,22060,80947
rmi://bordereau-37.bordeaux.grid5000.fr:55671,21891,74892
rmi://bordereau-36.bordeaux.grid5000.fr:42020,21918,76447
rmi://bordereau-43.bordeaux.grid5000.fr:54952,21862,73951
