WorkerName,StatesReceived,StatesComputed
rmi://paradent-31.rennes.grid5000.fr:40852,3604,10067
rmi://paradent-29.rennes.grid5000.fr:38902,3605,10715
rmi://paradent-35.rennes.grid5000.fr:59598,3582,9509
rmi://paradent-30.rennes.grid5000.fr:36796,3604,10107
rmi://paradent-28.rennes.grid5000.fr:45818,3610,10579
rmi://paradent-32.rennes.grid5000.fr:39530,3602,11853
rmi://paradent-33.rennes.grid5000.fr:48282,3602,10031
rmi://paradent-2.rennes.grid5000.fr:44520,3606,11086
rmi://paradent-34.rennes.grid5000.fr:36429,3591,9405
rmi://paradent-36.rennes.grid5000.fr:56837,3604,10126
rmi://paradent-47.rennes.grid5000.fr:47692,3459,8398
rmi://paradent-56.rennes.grid5000.fr:43808,3596,10174
rmi://paradent-27.rennes.grid5000.fr:34346,3599,11103
rmi://paradent-40.rennes.grid5000.fr:47307,3599,10071
rmi://paradent-37.rennes.grid5000.fr:34738,3603,10262
rmi://paradent-43.rennes.grid5000.fr:34048,3608,11169
rmi://paradent-3.rennes.grid5000.fr:57770,3600,9528
rmi://paradent-39.rennes.grid5000.fr:33218,3610,10772
rmi://paradent-49.rennes.grid5000.fr:58232,3613,10630
rmi://paradent-46.rennes.grid5000.fr:59620,3605,10056
rmi://paradent-54.rennes.grid5000.fr:57241,3601,11566
rmi://paradent-44.rennes.grid5000.fr:54691,3604,10195
rmi://paradent-41.rennes.grid5000.fr:49215,3604,10242
rmi://paradent-48.rennes.grid5000.fr:33407,3607,10309
rmi://paradent-45.rennes.grid5000.fr:35825,3595,11115
rmi://paradent-38.rennes.grid5000.fr:43696,3592,10440
rmi://paradent-59.rennes.grid5000.fr:39176,3595,10234
rmi://paradent-4.rennes.grid5000.fr:49293,3597,11130
rmi://paradent-61.rennes.grid5000.fr:60274,3606,10861
rmi://paradent-50.rennes.grid5000.fr:42440,3601,10469
rmi://paradent-52.rennes.grid5000.fr:37907,3593,10930
rmi://paradent-62.rennes.grid5000.fr:45390,3607,11493
rmi://paradent-55.rennes.grid5000.fr:58898,3590,10393
rmi://paradent-58.rennes.grid5000.fr:44452,3599,10793
rmi://paradent-7.rennes.grid5000.fr:53636,3605,10566
rmi://paradent-53.rennes.grid5000.fr:44662,3604,10521
rmi://paradent-6.rennes.grid5000.fr:58178,3610,11633
rmi://paradent-60.rennes.grid5000.fr:53998,3608,11060
rmi://paradent-26.rennes.grid5000.fr:40992,3603,10334
rmi://paradent-64.rennes.grid5000.fr:41452,3600,10208
rmi://paradent-5.rennes.grid5000.fr:50863,3593,10445
rmi://paradent-63.rennes.grid5000.fr:33821,3600,10471
rmi://paramount-10.rennes.grid5000.fr:33251,3323,6765
rmi://paradent-9.rennes.grid5000.fr:39063,3608,9840
rmi://paradent-57.rennes.grid5000.fr:49422,3599,10293
rmi://paramount-23.rennes.grid5000.fr:46646,3290,6227
rmi://paramount-13.rennes.grid5000.fr:42638,3313,6580
rmi://paramount-26.rennes.grid5000.fr:33897,3178,4922
rmi://paramount-1.rennes.grid5000.fr:44760,3320,6695
rmi://paramount-22.rennes.grid5000.fr:34458,3318,5582
rmi://paramount-15.rennes.grid5000.fr:52114,3318,6161
rmi://paramount-11.rennes.grid5000.fr:39123,3322,7253
rmi://paramount-2.rennes.grid5000.fr:53538,3313,6063
rmi://paramount-28.rennes.grid5000.fr:59280,3315,6419
rmi://paramount-18.rennes.grid5000.fr:45279,3282,6098
rmi://paramount-3.rennes.grid5000.fr:60198,3302,6100
rmi://paramount-25.rennes.grid5000.fr:50721,3169,4831
rmi://paramount-12.rennes.grid5000.fr:46293,3369,6931
rmi://paramount-24.rennes.grid5000.fr:36512,3313,6793
rmi://paradent-25.rennes.grid5000.fr:47397,3597,9668
rmi://paramount-5.rennes.grid5000.fr:60122,3310,6670
rmi://paramount-9.rennes.grid5000.fr:40268,3298,5790
rmi://paramount-27.rennes.grid5000.fr:57538,3089,3919
rmi://paramount-32.rennes.grid5000.fr:54798,3323,6951
rmi://paramount-8.rennes.grid5000.fr:33907,3312,6243
rmi://paramount-6.rennes.grid5000.fr:43005,3294,5418
rmi://paramount-33.rennes.grid5000.fr:50059,3307,6052
rmi://paramount-30.rennes.grid5000.fr:38285,3317,6168
rmi://paramount-29.rennes.grid5000.fr:33158,3320,5697
rmi://parapluie-21.rennes.grid5000.fr:35336,2351,1584
rmi://parapluie-5.rennes.grid5000.fr:55989,2353,1720
rmi://parapluie-3.rennes.grid5000.fr:49453,2361,1233
rmi://parapluie-10.rennes.grid5000.fr:34835,2359,1226
rmi://parapluie-1.rennes.grid5000.fr:55408,2360,1283
rmi://parapluie-9.rennes.grid5000.fr:48153,2346,853
rmi://parapluie-8.rennes.grid5000.fr:33369,2356,1289
rmi://parapluie-25.rennes.grid5000.fr:40310,2358,1890
rmi://parapluie-26.rennes.grid5000.fr:57957,2365,1246
