WorkerName,StatesReceived,StatesComputed
rmi://borderline-8.bordeaux.grid5000.fr:50742,34178,123243
rmi://borderline-4.bordeaux.grid5000.fr:58259,32626,118738
rmi://borderline-5.bordeaux.grid5000.fr:60976,33820,128272
rmi://borderline-7.bordeaux.grid5000.fr:40685,32469,103510
rmi://borderline-9.bordeaux.grid5000.fr:34480,32682,105521
rmi://borderline-6.bordeaux.grid5000.fr:34695,32683,115521
rmi://borderline-3.bordeaux.grid5000.fr:51302,32656,128527
rmi://borderline-2.bordeaux.grid5000.fr:41193,31030,94413
