WorkerName,StatesReceived,StatesComputed
rmi://sagittaire-7.lyon.grid5000.fr:59335,972689,93132
rmi://sagittaire-71.lyon.grid5000.fr:53759,1126557,207541
rmi://sagittaire-75.lyon.grid5000.fr:60124,1054892,128595
rmi://sagittaire-70.lyon.grid5000.fr:37906,1091014,172996
rmi://sagittaire-7.lyon.grid5000.fr:59335,970375,95668
rmi://sagittaire-71.lyon.grid5000.fr:53759,1123101,203018
rmi://sagittaire-78.lyon.grid5000.fr:49443,1107213,180663
rmi://sagittaire-9.lyon.grid5000.fr:45435,962096,69939
rmi://sagittaire-9.lyon.grid5000.fr:45435,963483,76779
rmi://sagittaire-75.lyon.grid5000.fr:60124,1055907,129862
rmi://sagittaire-70.lyon.grid5000.fr:37906,1093934,164491
rmi://sagittaire-79.lyon.grid5000.fr:50855,1108859,180213
rmi://sagittaire-6.lyon.grid5000.fr:39019,968750,78268
rmi://sagittaire-79.lyon.grid5000.fr:50855,1113126,183663
rmi://sagittaire-78.lyon.grid5000.fr:49443,1103775,184712
rmi://sagittaire-6.lyon.grid5000.fr:39019,961445,79562
