WorkerName,StatesReceived,StatesComputed
rmi://paradent-29.rennes.grid5000.fr:51318,3212,10559
rmi://paradent-23.rennes.grid5000.fr:46303,3183,8219
rmi://paradent-27.rennes.grid5000.fr:57292,3162,10056
rmi://paradent-34.rennes.grid5000.fr:44183,3186,7878
rmi://paradent-19.rennes.grid5000.fr:42583,3172,8343
rmi://paradent-18.rennes.grid5000.fr:39138,3184,9881
rmi://paradent-16.rennes.grid5000.fr:43372,3211,9667
rmi://paradent-24.rennes.grid5000.fr:43057,3014,6640
rmi://paradent-31.rennes.grid5000.fr:46582,3164,7888
rmi://paradent-32.rennes.grid5000.fr:55504,3170,9487
rmi://paradent-41.rennes.grid5000.fr:58330,3183,9101
rmi://paradent-28.rennes.grid5000.fr:45133,3210,9751
rmi://paradent-25.rennes.grid5000.fr:46145,3214,9576
rmi://paradent-3.rennes.grid5000.fr:42950,3203,9682
rmi://paradent-45.rennes.grid5000.fr:36872,3185,8467
rmi://paradent-36.rennes.grid5000.fr:50266,3155,8848
rmi://paradent-57.rennes.grid5000.fr:51502,3182,9899
rmi://paradent-37.rennes.grid5000.fr:55183,3188,8891
rmi://paradent-35.rennes.grid5000.fr:45087,3137,9330
rmi://paradent-49.rennes.grid5000.fr:54626,3207,8582
rmi://paradent-26.rennes.grid5000.fr:33032,3184,9727
rmi://paradent-33.rennes.grid5000.fr:60376,3182,8714
rmi://paradent-44.rennes.grid5000.fr:60413,3192,8571
rmi://paradent-20.rennes.grid5000.fr:52316,3185,8972
rmi://paradent-39.rennes.grid5000.fr:55025,3216,9295
rmi://paradent-30.rennes.grid5000.fr:54047,3197,8985
rmi://paradent-40.rennes.grid5000.fr:39832,3167,9327
rmi://paradent-46.rennes.grid5000.fr:57853,3208,9390
rmi://paradent-4.rennes.grid5000.fr:59865,3188,9005
rmi://paradent-2.rennes.grid5000.fr:49767,3194,9562
rmi://paradent-58.rennes.grid5000.fr:43666,3198,9899
rmi://paradent-43.rennes.grid5000.fr:56016,3149,9280
rmi://paradent-53.rennes.grid5000.fr:43265,3154,8792
rmi://paradent-50.rennes.grid5000.fr:36044,3136,8828
rmi://paradent-56.rennes.grid5000.fr:41829,2996,6927
rmi://paradent-52.rennes.grid5000.fr:58762,2998,6524
rmi://paradent-38.rennes.grid5000.fr:36779,3155,9387
rmi://paradent-54.rennes.grid5000.fr:40576,3170,8846
rmi://paradent-47.rennes.grid5000.fr:56192,3218,9180
rmi://paradent-55.rennes.grid5000.fr:45249,3119,7454
rmi://paradent-61.rennes.grid5000.fr:38751,3191,8856
rmi://paradent-64.rennes.grid5000.fr:55490,3212,10094
rmi://paradent-9.rennes.grid5000.fr:49989,3190,9225
rmi://paradent-5.rennes.grid5000.fr:41366,3203,9015
rmi://paradent-48.rennes.grid5000.fr:57617,3157,8731
rmi://paradent-60.rennes.grid5000.fr:45657,3199,8685
rmi://paradent-7.rennes.grid5000.fr:37124,3217,8578
rmi://paramount-23.rennes.grid5000.fr:53610,2937,6845
rmi://paradent-63.rennes.grid5000.fr:38661,3205,8817
rmi://paradent-59.rennes.grid5000.fr:37832,3049,6641
rmi://paramount-18.rennes.grid5000.fr:48018,2965,6183
rmi://paramount-1.rennes.grid5000.fr:41868,2727,4397
rmi://paradent-62.rennes.grid5000.fr:35241,3198,8400
rmi://paramount-24.rennes.grid5000.fr:45767,2925,6842
rmi://paramount-12.rennes.grid5000.fr:58405,2927,5776
rmi://paramount-22.rennes.grid5000.fr:54468,2751,4176
rmi://paramount-29.rennes.grid5000.fr:54186,2971,6255
rmi://paramount-11.rennes.grid5000.fr:46052,2954,6617
rmi://paramount-13.rennes.grid5000.fr:36106,2960,6568
rmi://paramount-32.rennes.grid5000.fr:48845,2945,6495
rmi://paradent-6.rennes.grid5000.fr:48153,3180,8560
rmi://paramount-33.rennes.grid5000.fr:43573,2929,6265
rmi://paramount-25.rennes.grid5000.fr:40430,2927,6281
rmi://paramount-10.rennes.grid5000.fr:45743,2917,5619
rmi://paramount-2.rennes.grid5000.fr:40034,2962,6693
rmi://paramount-15.rennes.grid5000.fr:35068,2703,3603
rmi://paramount-30.rennes.grid5000.fr:33327,2683,3718
rmi://paramount-8.rennes.grid5000.fr:51601,2927,5949
rmi://paramount-26.rennes.grid5000.fr:60200,2938,5422
rmi://paramount-5.rennes.grid5000.fr:44020,2948,6218
rmi://paramount-28.rennes.grid5000.fr:39477,2889,5355
rmi://paramount-6.rennes.grid5000.fr:43189,2914,6795
rmi://paradent-15.rennes.grid5000.fr:35997,3222,10343
rmi://paramount-27.rennes.grid5000.fr:36281,2822,5119
rmi://paramount-3.rennes.grid5000.fr:38551,2640,3369
rmi://paramount-9.rennes.grid5000.fr:56013,2943,5831
rmi://parapluie-10.rennes.grid5000.fr:48222,2022,1606
rmi://parapluie-8.rennes.grid5000.fr:45266,2027,1328
rmi://parapluie-1.rennes.grid5000.fr:34108,2040,1449
rmi://parapluie-3.rennes.grid5000.fr:46659,2075,2540
rmi://parapluie-5.rennes.grid5000.fr:43039,2084,1327
rmi://parapluie-26.rennes.grid5000.fr:36377,2011,1103
rmi://parapluie-9.rennes.grid5000.fr:47966,2071,1671
rmi://parapluie-21.rennes.grid5000.fr:46725,2055,1538
rmi://parapluie-25.rennes.grid5000.fr:54434,2021,1205
rmi://paradent-14.rennes.grid5000.fr:51276,3201,8315
rmi://paradent-17.rennes.grid5000.fr:53668,3211,9318
rmi://paradent-22.rennes.grid5000.fr:39268,3171,9114
