WorkerName,StatesReceived,StatesComputed
rmi://ip-10-29-141-29.ec2.internal:48758,12013008,904992
rmi://ip-10-157-10-254.ec2.internal:59349,11703541,738408
rmi://ip-10-31-135-164.ec2.internal:58850,12076639,974692
rmi://ip-10-157-10-254.ec2.internal:59349,11657680,720821
rmi://ip-10-157-10-254.ec2.internal:59349,11724384,734667
rmi://ip-10-29-181-245.ec2.internal:50546,12403464,1274265
rmi://ip-10-157-5-75.ec2.internal:57288,12304426,1179884
rmi://ip-10-30-129-189.ec2.internal:39651,12568215,1475756
rmi://ip-10-157-6-114.ec2.internal:43846,12663675,1597783
rmi://ip-10-29-129-92.ec2.internal:38326,12331626,1201747
rmi://ip-10-31-128-49.ec2.internal:43361,12407010,1331359
rmi://ip-10-29-141-29.ec2.internal:48758,12006988,892435
rmi://ip-10-157-5-75.ec2.internal:57288,12296870,1206762
rmi://ip-10-29-129-92.ec2.internal:38326,12326909,1207682
rmi://ip-10-31-131-102.ec2.internal:56052,11652186,692576
rmi://ip-10-29-140-237.ec2.internal:46809,12172858,1078131
rmi://ip-10-157-10-254.ec2.internal:59349,11712098,751829
rmi://ip-10-29-181-245.ec2.internal:50546,12367711,1257388
rmi://ip-10-31-128-49.ec2.internal:43361,12424360,1356676
rmi://ip-10-29-181-245.ec2.internal:50546,12375485,1284360
rmi://ip-10-30-129-189.ec2.internal:39651,12562742,1418767
rmi://ip-10-29-140-237.ec2.internal:46809,12173307,1095935
rmi://ip-10-31-131-102.ec2.internal:56052,11650847,727848
rmi://ip-10-31-131-102.ec2.internal:56052,11651880,695712
rmi://ip-10-30-129-189.ec2.internal:39651,12538282,1441387
rmi://ip-10-29-140-237.ec2.internal:46809,12176117,1056699
rmi://ip-10-29-181-245.ec2.internal:50546,12326423,1220207
rmi://ip-10-31-128-49.ec2.internal:43361,12394466,1292545
rmi://ip-10-29-129-92.ec2.internal:38326,12324838,1217859
rmi://ip-10-31-135-164.ec2.internal:58850,12067005,954431
rmi://ip-10-157-5-75.ec2.internal:57288,12298307,1225875
rmi://ip-10-30-129-189.ec2.internal:39651,12543475,1458303
rmi://ip-10-29-141-29.ec2.internal:48758,12010004,885845
rmi://ip-10-31-131-102.ec2.internal:56052,11649845,697092
rmi://ip-10-29-140-237.ec2.internal:46809,12174457,1056014
rmi://ip-10-29-181-245.ec2.internal:50546,12368300,1188346
rmi://ip-10-30-129-189.ec2.internal:39651,12518563,1377286
rmi://ip-10-157-5-75.ec2.internal:57288,12301161,1214487
rmi://ip-10-29-141-29.ec2.internal:48758,12010990,935380
rmi://ip-10-31-135-164.ec2.internal:58850,12073814,969804
rmi://ip-10-157-6-114.ec2.internal:43846,12662322,1555175
rmi://ip-10-29-141-29.ec2.internal:48758,12016890,915317
rmi://ip-10-31-135-164.ec2.internal:58850,12077349,974572
rmi://ip-10-157-6-114.ec2.internal:43846,12658840,1563322
rmi://ip-10-29-129-92.ec2.internal:38326,12324844,1184340
