Listening for transport dt_socket at address: 1044
TLC2 Version 2.05 of 23 July 2013
Running in Model-Checking mode.
Parsing file l12_n10.tla
Parsing file GridPerformanceTest.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/TLC.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Integers.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/FiniteSets.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Naturals.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Sequences.tla
Semantic processing of module Naturals
Semantic processing of module Integers
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module GridPerformanceTest
Semantic processing of module TLC
Semantic processing of module l12_n10
Starting... (2014-07-04 17:25:11)
Computing initial states...
Finished computing initial states: 1 distinct state generated.
Progress(8) at 2014-07-04 17:25:19: 46098 states generated (46,096 s/min), 13587 distinct states found (13,587 ds/min), 8971 states left on queue.
Progress(19) at 2014-07-04 18:03:19: 48265588 states generated (1,293,447 s/min), 7605975 distinct states found (190,829 ds/min), 2779409 states left on queue.
Progress(19) at 2014-07-04 18:04:19: 49563759 states generated (1,298,173 s/min), 7801967 distinct states found (195,992 ds/min), 2845583 states left on queue.
Progress(19) at 2014-07-04 18:05:19: 50816744 states generated (1,252,985 s/min), 7981106 distinct states found (179,139 ds/min), 2899424 states left on queue.
Progress(20) at 2014-07-04 18:06:19: 52089622 states generated (1,272,878 s/min), 8164649 distinct states found (183,543 ds/min), 2955678 states left on queue.
Progress(20) at 2014-07-04 18:07:19: 53377456 states generated (1,287,832 s/min), 8377031 distinct states found (212,382 ds/min), 3039278 states left on queue.
Progress(20) at 2014-07-04 18:08:19: 54661927 states generated (1,284,474 s/min), 8575092 distinct states found (198,061 ds/min), 3108892 states left on queue.
Progress(20) at 2014-07-04 18:09:19: 55954131 states generated (1,292,203 s/min), 8765665 distinct states found (190,573 ds/min), 3170245 states left on queue.
Progress(20) at 2014-07-04 18:10:19: 57155146 states generated (1,201,011 s/min), 8940697 distinct states found (175,032 ds/min), 3225173 states left on queue.
Progress(20) at 2014-07-04 18:11:19: 58394324 states generated (1,239,182 s/min), 9125889 distinct states found (185,192 ds/min), 3286447 states left on queue.
Progress(20) at 2014-07-04 18:12:19: 59683257 states generated (1,288,931 s/min), 9310606 distinct states found (184,717 ds/min), 3342271 states left on queue.
