WorkerName,StatesReceived,StatesComputed
rmi://paradent-56.rennes.grid5000.fr:50599,5588,17619
rmi://paradent-58.rennes.grid5000.fr:60862,5632,17695
rmi://paradent-61.rennes.grid5000.fr:41100,5546,17691
rmi://paradent-55.rennes.grid5000.fr:33943,5656,19452
rmi://paramount-18.rennes.grid5000.fr:57790,5209,12491
rmi://paradent-54.rennes.grid5000.fr:46367,5571,16543
rmi://paradent-59.rennes.grid5000.fr:45156,5618,19106
rmi://paradent-5.rennes.grid5000.fr:49625,5621,18973
rmi://paradent-53.rennes.grid5000.fr:54972,5615,17651
rmi://paradent-60.rennes.grid5000.fr:44457,5663,18908
rmi://paradent-52.rennes.grid5000.fr:56377,5617,19301
rmi://paradent-62.rennes.grid5000.fr:45128,5676,18487
rmi://paradent-64.rennes.grid5000.fr:38050,5625,19890
rmi://paradent-63.rennes.grid5000.fr:48094,5609,17989
rmi://paramount-1.rennes.grid5000.fr:50959,5197,12964
rmi://paradent-9.rennes.grid5000.fr:34289,5642,16793
rmi://paradent-57.rennes.grid5000.fr:40560,5596,18361
rmi://paramount-10.rennes.grid5000.fr:44831,5179,12811
rmi://paramount-11.rennes.grid5000.fr:43991,5162,13937
rmi://paradent-7.rennes.grid5000.fr:41821,5581,17953
rmi://paradent-6.rennes.grid5000.fr:51628,5666,18786
rmi://paramount-22.rennes.grid5000.fr:42901,5215,12926
rmi://paramount-12.rennes.grid5000.fr:41913,5197,12734
rmi://paramount-23.rennes.grid5000.fr:39598,5213,13876
rmi://paramount-13.rennes.grid5000.fr:43079,5169,12807
rmi://paramount-15.rennes.grid5000.fr:58692,5151,10989
rmi://paramount-33.rennes.grid5000.fr:52083,4648,8264
rmi://paramount-2.rennes.grid5000.fr:39451,5181,13752
rmi://paramount-32.rennes.grid5000.fr:35333,5169,12785
rmi://paramount-25.rennes.grid5000.fr:53000,5202,13069
rmi://paramount-8.rennes.grid5000.fr:59079,5172,13304
rmi://paramount-3.rennes.grid5000.fr:41031,5219,12976
rmi://paramount-27.rennes.grid5000.fr:46531,4853,9655
rmi://paramount-9.rennes.grid5000.fr:44087,5184,13022
rmi://paramount-26.rennes.grid5000.fr:57972,5200,13220
rmi://paramount-6.rennes.grid5000.fr:46923,5179,13193
rmi://paramount-29.rennes.grid5000.fr:59606,4780,9567
rmi://paramount-24.rennes.grid5000.fr:50164,5202,13040
rmi://paramount-30.rennes.grid5000.fr:51787,4761,8985
rmi://paramount-28.rennes.grid5000.fr:36144,4915,10756
rmi://paramount-5.rennes.grid5000.fr:36219,5209,13232
rmi://parapluie-1.rennes.grid5000.fr:33510,3639,3177
rmi://parapluie-25.rennes.grid5000.fr:57898,3633,2750
rmi://parapluie-3.rennes.grid5000.fr:44265,3610,2902
rmi://parapluie-21.rennes.grid5000.fr:47803,3677,3583
rmi://parapluie-9.rennes.grid5000.fr:53597,3635,3408
rmi://parapluie-10.rennes.grid5000.fr:36060,3707,4108
rmi://parapluie-5.rennes.grid5000.fr:50717,3658,3811
rmi://parapluie-8.rennes.grid5000.fr:49070,3628,3511
rmi://parapluie-26.rennes.grid5000.fr:41082,3589,3172
rmi://paradent-50.rennes.grid5000.fr:46799,5661,18437
rmi://paradent-49.rennes.grid5000.fr:49388,5619,18639
