WorkerName,StatesReceived,StatesComputed
rmi://paradent-5.rennes.grid5000.fr:41336,6228,21790
rmi://paradent-62.rennes.grid5000.fr:56706,6141,22112
rmi://paradent-56.rennes.grid5000.fr:37650,6153,20727
rmi://paradent-59.rennes.grid5000.fr:51893,6087,20387
rmi://paradent-57.rennes.grid5000.fr:56593,6147,20827
rmi://paradent-7.rennes.grid5000.fr:36154,6177,19416
rmi://paradent-58.rennes.grid5000.fr:57779,6165,18978
rmi://paradent-61.rennes.grid5000.fr:41590,6133,18737
rmi://paramount-22.rennes.grid5000.fr:41220,5722,14460
rmi://paradent-64.rennes.grid5000.fr:41586,6223,20743
rmi://paradent-60.rennes.grid5000.fr:43635,6175,21364
rmi://paradent-63.rennes.grid5000.fr:51989,6138,18522
rmi://paradent-6.rennes.grid5000.fr:46337,6119,19695
rmi://paramount-11.rennes.grid5000.fr:43009,5722,16275
rmi://paramount-18.rennes.grid5000.fr:50667,5732,14368
rmi://paramount-1.rennes.grid5000.fr:42710,5693,14908
rmi://paramount-15.rennes.grid5000.fr:55816,5711,14233
rmi://paradent-9.rennes.grid5000.fr:49380,6157,21276
rmi://paramount-27.rennes.grid5000.fr:56459,5673,13821
rmi://paramount-8.rennes.grid5000.fr:57484,5718,15382
rmi://paramount-6.rennes.grid5000.fr:46192,5712,14453
rmi://paramount-13.rennes.grid5000.fr:51381,5658,15749
rmi://paramount-25.rennes.grid5000.fr:35309,5657,14246
rmi://paramount-30.rennes.grid5000.fr:60132,5708,16747
rmi://paramount-32.rennes.grid5000.fr:47318,5345,12936
rmi://paramount-33.rennes.grid5000.fr:59096,5118,8795
rmi://paramount-24.rennes.grid5000.fr:33468,5308,11148
rmi://paramount-23.rennes.grid5000.fr:38050,5661,15030
rmi://paramount-12.rennes.grid5000.fr:35629,5660,15285
rmi://paramount-28.rennes.grid5000.fr:37024,5663,14679
rmi://paramount-2.rennes.grid5000.fr:42617,5681,16331
rmi://paramount-3.rennes.grid5000.fr:41061,5675,15309
rmi://paramount-26.rennes.grid5000.fr:41466,5321,11139
rmi://paramount-10.rennes.grid5000.fr:59151,5660,14660
rmi://parapluie-10.rennes.grid5000.fr:54150,3957,4191
rmi://paradent-54.rennes.grid5000.fr:50602,6102,17474
rmi://paramount-29.rennes.grid5000.fr:47419,5088,8482
rmi://parapluie-1.rennes.grid5000.fr:36240,3973,4017
rmi://parapluie-9.rennes.grid5000.fr:45148,4002,4557
rmi://parapluie-21.rennes.grid5000.fr:37667,3943,3402
rmi://parapluie-25.rennes.grid5000.fr:42469,3965,3695
rmi://parapluie-26.rennes.grid5000.fr:51100,3971,4688
rmi://parapluie-3.rennes.grid5000.fr:58268,3963,4256
rmi://paramount-9.rennes.grid5000.fr:35140,5422,12052
rmi://parapluie-8.rennes.grid5000.fr:54588,3965,4110
rmi://paramount-5.rennes.grid5000.fr:44967,5728,14231
rmi://parapluie-5.rennes.grid5000.fr:45958,4070,4732
rmi://paradent-55.rennes.grid5000.fr:41188,6154,18930
