TLC2 Version 2.05 of 18 May 2012
Running in Model-Checking mode.
Parsing file l1_n32_k2.tla
Parsing file GridPerformanceTest.tla
Parsing file /mnt/tlc/1458/tla/tla2sany/StandardModules/TLC.tla
Parsing file /mnt/tlc/1458/tla/tla2sany/StandardModules/Integers.tla
Parsing file /mnt/tlc/1458/tla/tla2sany/StandardModules/FiniteSets.tla
Parsing file /mnt/tlc/1458/tla/tla2sany/StandardModules/Naturals.tla
Parsing file /mnt/tlc/1458/tla/tla2sany/StandardModules/Sequences.tla
Semantic processing of module Naturals
Semantic processing of module Integers
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module GridPerformanceTest
Semantic processing of module TLC
Semantic processing of module l1_n32_k2
Starting... (2012-08-23 10:04:37)
Computing initial states...
Finished computing initial states: 1 distinct state generated.
Progress(7) at 2012-08-23 10:04:43: 1055247 states generated (1,055,177 s/min), 238063 distinct states found (238,063 ds/min), 205082 states left on queue.
Progress(9) at 2012-08-23 10:05:43: 45365222 states generated (44,310,045 s/min), 5964446 distinct states found (5,726,383 ds/min), 4546768 states left on queue.
Progress(10) at 2012-08-23 10:06:43: 101023068 states generated (55,657,762 s/min), 11995778 distinct states found (6,031,332 ds/min), 8838797 states left on queue.
Progress(10) at 2012-08-23 10:07:43: 161193566 states generated (60,170,582 s/min), 18014876 distinct states found (6,019,098 ds/min), 12977564 states left on queue.
Progress(10) at 2012-08-23 10:08:43: 225657761 states generated (64,464,147 s/min), 23993945 distinct states found (5,979,069 ds/min), 16942125 states left on queue.
Progress(11) at 2012-08-23 10:09:43: 290412632 states generated (64,754,885 s/min), 29961572 distinct states found (5,967,627 ds/min), 20886164 states left on queue.
Progress(11) at 2012-08-23 10:10:43: 355235351 states generated (64,822,734 s/min), 35516867 distinct states found (5,555,295 ds/min), 24415744 states left on queue.
Progress(11) at 2012-08-23 10:11:43: 425836992 states generated (70,601,624 s/min), 41438345 distinct states found (5,921,478 ds/min), 28130925 states left on queue.
Progress(11) at 2012-08-23 10:12:43: 496989411 states generated (71,152,435 s/min), 47306089 distinct states found (5,867,744 ds/min), 31775154 states left on queue.
Progress(11) at 2012-08-23 10:13:43: 567679131 states generated (70,689,740 s/min), 53183134 distinct states found (5,877,045 ds/min), 35443145 states left on queue.
Progress(11) at 2012-08-23 10:14:43: 645310956 states generated (77,631,780 s/min), 59017895 distinct states found (5,834,761 ds/min), 38851917 states left on queue.
Progress(12) at 2012-08-23 10:15:43: 713584984 states generated (68,274,073 s/min), 64389791 distinct states found (5,371,896 ds/min), 42090244 states left on queue.
Progress(12) at 2012-08-23 10:16:43: 785366708 states generated (71,781,724 s/min), 70238880 distinct states found (5,849,089 ds/min), 45696153 states left on queue.
Progress(12) at 2012-08-23 10:17:43: 865629127 states generated (80,262,419 s/min), 75915935 distinct states found (5,677,055 ds/min), 48865008 states left on queue.
Progress(12) at 2012-08-23 10:18:43: 937738326 states generated (72,109,199 s/min), 81789599 distinct states found (5,873,664 ds/min), 52485260 states left on queue.
Progress(12) at 2012-08-23 10:19:43: 1017714034 states generated (79,975,614 s/min), 87572022 distinct states found (5,782,423 ds/min), 55768450 states left on queue.
Progress(12) at 2012-08-23 10:20:43: 1087312312 states generated (69,598,353 s/min), 92958990 distinct states found (5,386,968 ds/min), 58980465 states left on queue.
Progress(12) at 2012-08-23 10:21:43: 1168096102 states generated (80,783,701 s/min), 98694892 distinct states found (5,735,902 ds/min), 62191878 states left on queue.
Progress(12) at 2012-08-23 10:22:43: 1248028670 states generated (79,932,647 s/min), 104395908 distinct states found (5,701,016 ds/min), 65394996 states left on queue.
Progress(12) at 2012-08-23 10:23:43: 1329975678 states generated (81,947,037 s/min), 110133918 distinct states found (5,738,010 ds/min), 68572163 states left on queue.
Progress(12) at 2012-08-23 10:24:43: 1410881689 states generated (80,906,011 s/min), 115901083 distinct states found (5,767,165 ds/min), 71811018 states left on queue.
Progress(12) at 2012-08-23 10:25:43: 1488093137 states generated (77,211,307 s/min), 121007854 distinct states found (5,106,771 ds/min), 74504930 states left on queue.
Progress(12) at 2012-08-23 10:26:43: 1567569349 states generated (79,476,302 s/min), 126692418 distinct states found (5,684,564 ds/min), 77705862 states left on queue.
Progress(12) at 2012-08-23 10:27:43: 1647973621 states generated (80,404,217 s/min), 132352303 distinct states found (5,659,885 ds/min), 80853120 states left on queue.
Progress(12) at 2012-08-23 10:28:43: 1732201201 states generated (84,227,686 s/min), 138035866 distinct states found (5,683,563 ds/min), 83904567 states left on queue.
Progress(12) at 2012-08-23 10:29:43: 1823448821 states generated (91,247,561 s/min), 143495458 distinct states found (5,459,592 ds/min), 86512675 states left on queue.
Progress(12) at 2012-08-23 10:30:43: 1899441478 states generated (75,992,619 s/min), 148522676 distinct states found (5,027,218 ds/min), 89165124 states left on queue.
Progress(12) at 2012-08-23 10:31:43: 1985455020 states generated (86,013,639 s/min), 154092190 distinct states found (5,569,514 ds/min), 92046706 states left on queue.
Progress(13) at 2012-08-23 10:32:43: 2064020488 states generated (78,565,468 s/min), 159736478 distinct states found (5,644,288 ds/min), 95235822 states left on queue.
Progress(13) at 2012-08-23 10:33:43: 2145630159 states generated (81,609,671 s/min), 165356188 distinct states found (5,619,710 ds/min), 98305233 states left on queue.
Progress(13) at 2012-08-23 10:34:43: 2228501120 states generated (82,870,941 s/min), 170947121 distinct states found (5,590,933 ds/min), 101306444 states left on queue.
Progress(13) at 2012-08-23 10:35:43: 2304817184 states generated (76,315,970 s/min), 175847765 distinct states found (4,900,644 ds/min), 103822217 states left on queue.
Progress(13) at 2012-08-23 10:36:43: 2400384940 states generated (95,567,870 s/min), 181109407 distinct states found (5,261,642 ds/min), 106097361 states left on queue.
