WorkerName,StatesReceived,StatesComputed
rmi://paradent-44.rennes.grid5000.fr:50071,4775,14109
rmi://paradent-36.rennes.grid5000.fr:47317,4773,14440
rmi://paradent-53.rennes.grid5000.fr:47198,4763,15186
rmi://paradent-5.rennes.grid5000.fr:55572,4754,14201
rmi://paradent-50.rennes.grid5000.fr:53998,4765,13106
rmi://paradent-49.rennes.grid5000.fr:49651,4760,14248
rmi://paradent-52.rennes.grid5000.fr:39737,4758,14896
rmi://paradent-55.rennes.grid5000.fr:47000,4766,14423
rmi://paradent-56.rennes.grid5000.fr:46208,4744,13964
rmi://paradent-47.rennes.grid5000.fr:41336,4763,14127
rmi://paradent-48.rennes.grid5000.fr:52092,4752,13791
rmi://paradent-29.rennes.grid5000.fr:59247,4768,15196
rmi://paradent-57.rennes.grid5000.fr:51476,4755,13954
rmi://paradent-54.rennes.grid5000.fr:54371,4756,15037
rmi://paradent-62.rennes.grid5000.fr:47148,4695,12312
rmi://paradent-63.rennes.grid5000.fr:47385,4768,14649
rmi://paradent-43.rennes.grid5000.fr:51555,4756,15329
rmi://paradent-60.rennes.grid5000.fr:47135,4756,14318
rmi://paradent-61.rennes.grid5000.fr:44257,4746,11720
rmi://paradent-64.rennes.grid5000.fr:41050,4764,15331
rmi://paradent-7.rennes.grid5000.fr:55431,4749,14091
rmi://paradent-6.rennes.grid5000.fr:36227,4763,15227
rmi://paradent-59.rennes.grid5000.fr:37844,4793,15960
rmi://paradent-38.rennes.grid5000.fr:41697,4755,12482
rmi://paramount-12.rennes.grid5000.fr:60264,4513,10515
rmi://paradent-9.rennes.grid5000.fr:35863,4807,14880
rmi://paramount-1.rennes.grid5000.fr:48596,4346,9335
rmi://paradent-58.rennes.grid5000.fr:34736,4771,13769
rmi://paradent-33.rennes.grid5000.fr:38808,4758,13962
rmi://paramount-2.rennes.grid5000.fr:52785,4396,9848
rmi://paramount-22.rennes.grid5000.fr:41662,4394,10230
rmi://paramount-24.rennes.grid5000.fr:56658,4396,10334
rmi://paramount-10.rennes.grid5000.fr:36979,4400,9712
rmi://paramount-27.rennes.grid5000.fr:52632,4394,10561
rmi://paramount-23.rennes.grid5000.fr:59102,4390,10131
rmi://paramount-8.rennes.grid5000.fr:36942,4383,9934
rmi://paramount-11.rennes.grid5000.fr:39672,4404,8844
rmi://paramount-29.rennes.grid5000.fr:51974,4395,10489
rmi://paramount-33.rennes.grid5000.fr:59483,4373,9950
rmi://paramount-26.rennes.grid5000.fr:33377,4396,10401
rmi://paramount-18.rennes.grid5000.fr:43507,4353,8358
rmi://paramount-28.rennes.grid5000.fr:34242,4380,9512
rmi://paramount-25.rennes.grid5000.fr:57563,4494,11441
rmi://paramount-9.rennes.grid5000.fr:35198,4403,9633
rmi://paramount-30.rennes.grid5000.fr:40076,4219,7847
rmi://paramount-32.rennes.grid5000.fr:50639,4399,9799
rmi://paramount-15.rennes.grid5000.fr:47147,4604,12610
rmi://paramount-6.rennes.grid5000.fr:37048,4402,10211
rmi://paramount-5.rennes.grid5000.fr:53323,4350,10281
rmi://paramount-3.rennes.grid5000.fr:49195,4400,10977
rmi://paramount-13.rennes.grid5000.fr:34583,4416,10266
rmi://parapluie-25.rennes.grid5000.fr:44969,3125,2984
rmi://parapluie-1.rennes.grid5000.fr:35222,3131,3096
rmi://parapluie-3.rennes.grid5000.fr:59878,3089,2359
rmi://parapluie-26.rennes.grid5000.fr:40797,3116,2743
rmi://parapluie-10.rennes.grid5000.fr:41850,3120,3102
rmi://parapluie-9.rennes.grid5000.fr:60095,3115,2129
rmi://parapluie-5.rennes.grid5000.fr:56661,3110,2735
rmi://parapluie-8.rennes.grid5000.fr:45623,3090,2331
rmi://parapluie-21.rennes.grid5000.fr:53362,3115,2851
