WorkerName,StatesReceived,StatesComputed
rmi://sagittaire-39.lyon.grid5000.fr:48823,245103,5563
rmi://sagittaire-65.lyon.grid5000.fr:57332,263692,7597
rmi://sagittaire-66.lyon.grid5000.fr:42861,251356,6515
rmi://sagittaire-9.lyon.grid5000.fr:47110,254442,8989
rmi://sagittaire-50.lyon.grid5000.fr:47854,254238,4223
rmi://sagittaire-70.lyon.grid5000.fr:57687,272375,11404
rmi://sagittaire-56.lyon.grid5000.fr:43648,266254,7423
rmi://sagittaire-6.lyon.grid5000.fr:56709,261657,11124
rmi://sagittaire-5.lyon.grid5000.fr:52628,267593,9380
rmi://sagittaire-63.lyon.grid5000.fr:52732,257677,9812
rmi://sagittaire-55.lyon.grid5000.fr:57672,269241,12191
rmi://sagittaire-59.lyon.grid5000.fr:34751,269894,10170
rmi://sagittaire-51.lyon.grid5000.fr:54272,243998,6236
rmi://sagittaire-2.lyon.grid5000.fr:35121,245887,4464
rmi://sagittaire-79.lyon.grid5000.fr:60690,273002,10695
rmi://sagittaire-70.lyon.grid5000.fr:57687,273825,11095
rmi://sagittaire-19.lyon.grid5000.fr:59536,270948,10341
rmi://sagittaire-48.lyon.grid5000.fr:39794,272684,11047
rmi://sagittaire-49.lyon.grid5000.fr:52151,249966,7969
rmi://sagittaire-6.lyon.grid5000.fr:56709,264441,9391
rmi://sagittaire-65.lyon.grid5000.fr:57332,260232,7187
rmi://sagittaire-64.lyon.grid5000.fr:39300,271219,10233
rmi://sagittaire-53.lyon.grid5000.fr:42221,269073,9922
rmi://sagittaire-64.lyon.grid5000.fr:39300,274468,9456
rmi://sagittaire-50.lyon.grid5000.fr:47854,255076,5020
rmi://sagittaire-78.lyon.grid5000.fr:48857,272047,10342
rmi://sagittaire-61.lyon.grid5000.fr:57348,260311,9278
rmi://sagittaire-67.lyon.grid5000.fr:45268,259929,9175
rmi://sagittaire-68.lyon.grid5000.fr:48504,277014,9363
rmi://sagittaire-2.lyon.grid5000.fr:35121,244502,4888
rmi://sagittaire-55.lyon.grid5000.fr:57672,270309,10238
rmi://sagittaire-51.lyon.grid5000.fr:54272,242542,5426
rmi://sagittaire-28.lyon.grid5000.fr:39702,267751,7072
rmi://sagittaire-53.lyon.grid5000.fr:42221,268192,11631
rmi://sagittaire-7.lyon.grid5000.fr:58481,248880,4670
rmi://sagittaire-49.lyon.grid5000.fr:52151,253159,6813
rmi://sagittaire-63.lyon.grid5000.fr:52732,257472,10004
rmi://sagittaire-71.lyon.grid5000.fr:58993,262632,8809
rmi://sagittaire-58.lyon.grid5000.fr:59392,267477,6710
rmi://sagittaire-66.lyon.grid5000.fr:42861,249916,6691
rmi://sagittaire-71.lyon.grid5000.fr:58993,261295,10158
rmi://sagittaire-31.lyon.grid5000.fr:44752,251713,8807
rmi://sagittaire-5.lyon.grid5000.fr:52628,266679,13929
rmi://sagittaire-19.lyon.grid5000.fr:59536,273917,11057
rmi://sagittaire-56.lyon.grid5000.fr:43648,264916,7792
rmi://sagittaire-52.lyon.grid5000.fr:56291,257418,6623
rmi://sagittaire-7.lyon.grid5000.fr:58481,247508,4986
rmi://sagittaire-28.lyon.grid5000.fr:39702,266421,8407
rmi://sagittaire-59.lyon.grid5000.fr:34751,268418,11549
rmi://sagittaire-69.lyon.grid5000.fr:59749,264488,7460
rmi://sagittaire-52.lyon.grid5000.fr:56291,258660,6725
rmi://sagittaire-79.lyon.grid5000.fr:60690,271709,12370
rmi://sagittaire-48.lyon.grid5000.fr:39794,273376,11039
rmi://sagittaire-75.lyon.grid5000.fr:33943,273124,12767
rmi://sagittaire-68.lyon.grid5000.fr:48504,278711,11323
rmi://sagittaire-58.lyon.grid5000.fr:59392,260403,9380
rmi://sagittaire-69.lyon.grid5000.fr:59749,263720,7467
rmi://sagittaire-78.lyon.grid5000.fr:48857,271568,9617
rmi://sagittaire-39.lyon.grid5000.fr:48823,249056,6238
rmi://sagittaire-61.lyon.grid5000.fr:57348,254672,8999
rmi://sagittaire-31.lyon.grid5000.fr:44752,252119,8695
rmi://sagittaire-9.lyon.grid5000.fr:47110,258210,8271
rmi://sagittaire-75.lyon.grid5000.fr:33943,271353,10615
rmi://sagittaire-67.lyon.grid5000.fr:45268,257288,8953
