WorkerName,StatesReceived,StatesComputed
rmi://paradent-49.rennes.grid5000.fr:36512,5147,17996
rmi://paradent-43.rennes.grid5000.fr:58066,5141,15458
rmi://paradent-54.rennes.grid5000.fr:49015,5187,16052
rmi://paradent-48.rennes.grid5000.fr:57543,5145,15295
rmi://paradent-55.rennes.grid5000.fr:43108,5150,16945
rmi://paradent-59.rennes.grid5000.fr:38922,5146,14888
rmi://paradent-50.rennes.grid5000.fr:37486,5148,16628
rmi://paradent-47.rennes.grid5000.fr:55692,5139,15997
rmi://paradent-61.rennes.grid5000.fr:39203,5145,15340
rmi://paradent-6.rennes.grid5000.fr:37397,5141,16388
rmi://paradent-7.rennes.grid5000.fr:54129,5140,16239
rmi://paradent-53.rennes.grid5000.fr:52535,5137,15069
rmi://paradent-64.rennes.grid5000.fr:49133,5150,15957
rmi://paradent-9.rennes.grid5000.fr:43055,5116,16062
rmi://paradent-5.rennes.grid5000.fr:33759,5142,16529
rmi://paradent-63.rennes.grid5000.fr:59692,5139,15680
rmi://paradent-62.rennes.grid5000.fr:60519,5141,14608
rmi://paramount-12.rennes.grid5000.fr:40082,4739,10183
rmi://paramount-13.rennes.grid5000.fr:41319,4741,10469
rmi://paradent-58.rennes.grid5000.fr:44704,5123,15227
rmi://paradent-60.rennes.grid5000.fr:53216,5130,14057
rmi://paramount-22.rennes.grid5000.fr:40799,4737,11058
rmi://paramount-11.rennes.grid5000.fr:58710,4731,9528
rmi://paramount-10.rennes.grid5000.fr:37616,4745,11818
rmi://paradent-44.rennes.grid5000.fr:41865,5148,15348
rmi://paradent-57.rennes.grid5000.fr:49711,5101,15926
rmi://paradent-56.rennes.grid5000.fr:57776,5129,15317
rmi://paramount-25.rennes.grid5000.fr:53939,4726,12089
rmi://paramount-24.rennes.grid5000.fr:51287,4729,10484
rmi://paramount-5.rennes.grid5000.fr:57698,4738,11695
rmi://paramount-15.rennes.grid5000.fr:45395,4439,7803
rmi://paramount-29.rennes.grid5000.fr:43936,4743,10938
rmi://paramount-2.rennes.grid5000.fr:58084,4735,10317
rmi://paramount-33.rennes.grid5000.fr:34991,4738,11293
rmi://paramount-26.rennes.grid5000.fr:43275,5272,17142
rmi://paramount-30.rennes.grid5000.fr:57020,4735,11251
rmi://paramount-28.rennes.grid5000.fr:57381,4739,11396
rmi://paramount-1.rennes.grid5000.fr:50034,4736,11078
rmi://paramount-18.rennes.grid5000.fr:60284,4763,11181
rmi://paramount-27.rennes.grid5000.fr:57113,4739,10107
rmi://parapluie-8.rennes.grid5000.fr:58168,3358,2792
rmi://paramount-8.rennes.grid5000.fr:44530,4721,9485
rmi://parapluie-9.rennes.grid5000.fr:53305,3350,3207
rmi://parapluie-10.rennes.grid5000.fr:55470,3363,2493
rmi://parapluie-5.rennes.grid5000.fr:58913,3365,2869
rmi://paramount-3.rennes.grid5000.fr:41793,4751,11661
rmi://paramount-9.rennes.grid5000.fr:46469,4471,8379
rmi://paramount-32.rennes.grid5000.fr:41002,4750,10940
rmi://paramount-23.rennes.grid5000.fr:60609,4709,10103
rmi://parapluie-3.rennes.grid5000.fr:36824,3358,2574
rmi://parapluie-25.rennes.grid5000.fr:34231,3366,2903
rmi://parapluie-21.rennes.grid5000.fr:37604,3359,2716
rmi://paramount-6.rennes.grid5000.fr:59658,4747,11103
rmi://parapluie-26.rennes.grid5000.fr:42988,3356,2524
rmi://parapluie-1.rennes.grid5000.fr:47771,3364,3491
rmi://paradent-52.rennes.grid5000.fr:57996,5146,14893
