WorkerName,StatesReceived,StatesComputed
rmi://paradent-9.rennes.grid5000.fr:36901,8583,30508
rmi://paramount-13.rennes.grid5000.fr:57323,7441,17576
rmi://paramount-18.rennes.grid5000.fr:58133,7368,18074
rmi://paramount-15.rennes.grid5000.fr:58527,7929,22598
rmi://paramount-12.rennes.grid5000.fr:37829,7851,22972
rmi://paramount-11.rennes.grid5000.fr:46907,7845,23526
rmi://paramount-2.rennes.grid5000.fr:60204,7881,26349
rmi://paramount-25.rennes.grid5000.fr:51976,7862,22915
rmi://paramount-30.rennes.grid5000.fr:40770,7869,24136
rmi://paramount-28.rennes.grid5000.fr:43355,7851,21912
rmi://paramount-22.rennes.grid5000.fr:56350,7963,25288
rmi://paramount-33.rennes.grid5000.fr:49028,6963,15508
rmi://paramount-6.rennes.grid5000.fr:40553,7917,24843
rmi://paramount-29.rennes.grid5000.fr:48065,7432,19035
rmi://paramount-27.rennes.grid5000.fr:34767,7816,22775
rmi://paramount-5.rennes.grid5000.fr:53310,7831,24070
rmi://paramount-10.rennes.grid5000.fr:52900,7626,20202
rmi://paramount-24.rennes.grid5000.fr:54541,7887,23149
rmi://paramount-3.rennes.grid5000.fr:44910,7869,23117
rmi://paramount-32.rennes.grid5000.fr:34821,7868,21786
rmi://paradent-7.rennes.grid5000.fr:39722,8536,29691
rmi://paramount-26.rennes.grid5000.fr:51785,7875,23208
rmi://paramount-23.rennes.grid5000.fr:42544,7898,23940
rmi://parapluie-10.rennes.grid5000.fr:38970,5558,7286
rmi://paradent-6.rennes.grid5000.fr:42380,8503,30604
rmi://parapluie-26.rennes.grid5000.fr:49296,5518,6753
rmi://parapluie-1.rennes.grid5000.fr:60311,5543,7265
rmi://parapluie-21.rennes.grid5000.fr:38936,5549,6623
rmi://paramount-8.rennes.grid5000.fr:58040,7932,23783
rmi://parapluie-8.rennes.grid5000.fr:33410,5535,8113
rmi://paramount-1.rennes.grid5000.fr:39585,7965,25482
rmi://parapluie-5.rennes.grid5000.fr:42161,5575,6743
rmi://parapluie-25.rennes.grid5000.fr:48566,5550,6849
rmi://paramount-9.rennes.grid5000.fr:56625,7866,24684
rmi://parapluie-3.rennes.grid5000.fr:46437,5542,7379
rmi://parapluie-9.rennes.grid5000.fr:56211,5547,7096
