WorkerName,StatesReceived,StatesComputed
rmi://paradent-57.rennes.grid5000.fr:45354,5172,14836
rmi://paradent-48.rennes.grid5000.fr:38505,5166,15793
rmi://paradent-52.rennes.grid5000.fr:54431,5156,15900
rmi://paradent-60.rennes.grid5000.fr:51540,4937,11698
rmi://paradent-53.rennes.grid5000.fr:48382,5163,15344
rmi://paradent-55.rennes.grid5000.fr:42743,4948,13151
rmi://paradent-47.rennes.grid5000.fr:38416,5159,14354
rmi://paradent-49.rennes.grid5000.fr:51255,5200,17944
rmi://paradent-43.rennes.grid5000.fr:36127,5163,16211
rmi://paradent-56.rennes.grid5000.fr:45730,5160,17612
rmi://paradent-61.rennes.grid5000.fr:38105,5160,17488
rmi://paradent-54.rennes.grid5000.fr:38753,5158,15926
rmi://paradent-59.rennes.grid5000.fr:46239,5157,17734
rmi://paradent-58.rennes.grid5000.fr:56038,5156,16910
rmi://paradent-64.rennes.grid5000.fr:59138,5153,16046
rmi://paradent-6.rennes.grid5000.fr:47654,5153,16136
rmi://paradent-50.rennes.grid5000.fr:36226,5164,15757
rmi://paradent-63.rennes.grid5000.fr:38558,5160,16320
rmi://paradent-9.rennes.grid5000.fr:34187,5149,14534
rmi://paradent-7.rennes.grid5000.fr:54167,5157,16504
rmi://paramount-10.rennes.grid5000.fr:34832,4778,11404
rmi://paramount-24.rennes.grid5000.fr:46371,4743,11363
rmi://paradent-5.rennes.grid5000.fr:40606,5153,14773
rmi://paradent-44.rennes.grid5000.fr:46867,5141,16682
rmi://paramount-12.rennes.grid5000.fr:50786,4756,11767
rmi://paramount-26.rennes.grid5000.fr:35852,4743,10622
rmi://paramount-11.rennes.grid5000.fr:37536,4741,11714
rmi://paradent-62.rennes.grid5000.fr:41708,5170,17571
rmi://paramount-22.rennes.grid5000.fr:57116,4753,11456
rmi://paramount-32.rennes.grid5000.fr:55454,4758,10450
rmi://paramount-15.rennes.grid5000.fr:58418,4759,12044
rmi://paramount-27.rennes.grid5000.fr:42486,4751,10298
rmi://paramount-13.rennes.grid5000.fr:45919,4759,11327
rmi://paramount-25.rennes.grid5000.fr:54572,4762,12047
rmi://paramount-29.rennes.grid5000.fr:54520,4771,12388
rmi://paramount-2.rennes.grid5000.fr:49565,4747,11021
rmi://paramount-1.rennes.grid5000.fr:46707,4754,11061
rmi://paramount-23.rennes.grid5000.fr:57198,4739,10906
rmi://paramount-33.rennes.grid5000.fr:38901,4760,11201
rmi://paramount-30.rennes.grid5000.fr:52061,4447,7796
rmi://paramount-8.rennes.grid5000.fr:38467,4480,8671
rmi://paramount-28.rennes.grid5000.fr:59565,4756,11075
rmi://paramount-3.rennes.grid5000.fr:35877,4733,11304
rmi://paramount-5.rennes.grid5000.fr:49096,4733,10387
rmi://paramount-9.rennes.grid5000.fr:57982,4749,11635
rmi://paramount-18.rennes.grid5000.fr:56675,4768,10508
rmi://parapluie-25.rennes.grid5000.fr:37351,3367,2408
rmi://parapluie-1.rennes.grid5000.fr:45170,3376,2910
rmi://paramount-6.rennes.grid5000.fr:42077,4758,12221
rmi://parapluie-5.rennes.grid5000.fr:34417,3380,2855
rmi://parapluie-10.rennes.grid5000.fr:35581,3375,2458
rmi://parapluie-21.rennes.grid5000.fr:43483,3371,2869
rmi://parapluie-26.rennes.grid5000.fr:56939,3380,2830
rmi://parapluie-9.rennes.grid5000.fr:55175,3379,2380
rmi://parapluie-3.rennes.grid5000.fr:52072,3378,3401
rmi://parapluie-8.rennes.grid5000.fr:51136,3385,2653
